Photo_ID,Date,Sample_ID,Origin,Egg_number,Diameter1_long,Diameter2_short,,Tech,Note
6C5_20191024,20191024,6C5,Nursery,1,0.599,0.411,0.188,AM,
6C5_20191024,20191024,6C5,Nursery,2,0.501,0.385,0.116,AM,
6C5_20191024,20191024,6C5,Nursery,3,0.535,0.493,0.042,AM,
6C5_20191024,20191024,6C5,Nursery,4,0.449,0.38,0.069,AM,
6C5_20191024,20191024,6C5,Nursery,5,0.544,0.441,0.103,AM,
6C5_20191024,20191024,6C5,Nursery,6,0.542,0.445,0.097,AM,
6C5_20191024,20191024,6C5,Nursery,7,0.581,0.501,0.08,AM,
6C5_20191024,20191024,6C5,Nursery,8,0.526,0.38,0.146,AM,
6C5_20191024,20191024,6C5,Nursery,9,0.496,0.399,0.097,AM,
6C5_20191024,20191024,6C5,Nursery,10,0.557,0.529,0.028,AM,
6C5_20191024,20191024,6C5,Nursery,11,0.484,0.352,0.132,AM,
6C5_20191024,20191024,6C5,Nursery,12,0.451,0.342,0.109,AM,
6C5_20191024,20191024,6C5,Nursery,13,0.616,0.422,0.194,AM,
6C5_20191024,20191024,6C5,Nursery,14,0.514,0.451,0.063,AM,
6C5_20191024,20191024,6C5,Nursery,15,0.597,0.55,0.047,AM,
6C5_20191024,20191024,6C5,Nursery,16,0.556,0.42,0.136,AM,
6C5_20191024,20191024,6C5,Nursery,17,0.624,0.45,0.174,AM,
6C5_20191024,20191024,6C5,Nursery,18,0.39,0.34,0.05,AM,
6C5_20191024,20191024,6C5,Nursery,19,0.56,0.375,0.185,AM,
6C5_20191024,20191024,6C5,Nursery,20,0.55,0.266,0.284,AM,
6C5_20191024,20191024,6C5,Nursery,21,0.502,0.385,0.117,AM,
6C5_20191024,20191024,6C5,Nursery,22,0.554,0.447,0.107,AM,
6C5_20191024,20191024,6C5,Nursery,23,0.691,0.41,0.281,AM,
6C5_20191024,20191024,6C5,Nursery,24,0.499,0.428,0.071,AM,
6C5_20191024,20191024,6C5,Nursery,25,0.593,0.445,0.148,AM,
6C5_20191024,20191024,6C5,Nursery,26,0.549,0.296,0.253,AM,
6C5_20191024,20191024,6C5,Nursery,27,0.469,0.45,0.019,AM,
6C5_20191024,20191024,6C5,Nursery,28,0.634,0.463,0.171,AM,
6C5_20191024,20191024,6C5,Nursery,29,0.562,0.364,0.198,AM,
6C5_20191024,20191024,6C5,Nursery,30,0.497,0.286,0.211,AM,
6C5_20191024,20191024,6C5,Nursery,31,0.522,0.481,0.041,AM,
6C5_20191024,20191024,6C5,Nursery,32,0.48,0.313,0.167,AM,
6C5_20191024,20191024,6C5,Nursery,33,0.559,0.551,0.008,AM,
6C5_20191024,20191024,6C5,Nursery,34,0.609,0.464,0.145,AM,
6C5_20191024,20191024,6C5,Nursery,35,0.621,0.297,0.324,AM,
6C5_20191024,20191024,6C5,Nursery,36,0.506,0.464,0.042,AM,
6C5_20191024,20191024,6C5,Nursery,37,0.542,0.324,0.218,AM,
6C5_20191024,20191024,6C5,Nursery,38,0.725,0.38,0.345,AM,
6C5_20191024,20191024,6C5,Nursery,39,0.551,0.395,0.156,AM,
6C5_20191024,20191024,6C5,Nursery,40,0.581,0.48,0.101,AM,
6C5_20191024,20191024,6C5,Nursery,41,0.535,0.438,0.097,AM,
6C5_20191024,20191024,6C5,Nursery,42,0.563,0.475,0.088,AM,
6C5_20191024,20191024,6C5,Nursery,43,0.501,0.453,0.048,AM,
6C5_20191024,20191024,6C5,Nursery,44,0.508,0.488,0.02,AM,
6C5_20191024,20191024,6C5,Nursery,45,0.524,0.405,0.119,AM,
6C5_20191024,20191024,6C5,Nursery,46,0.535,0.49,0.045,AM,
6C5_20191024,20191024,6C5,Nursery,47,0.502,0.43,0.072,AM,
6C5_20191024,20191024,6C5,Nursery,48,0.449,0.378,0.071,AM,
6C5_20191024,20191024,6C5,Nursery,49,0.521,0.4,0.121,AM,
6C5_20191024,20191024,6C5,Nursery,50,0.554,0.479,0.075,AM,
6C5_20191024,20191024,6C5,Nursery,51,0.552,0.367,0.185,AM,
6C5_20191024,20191024,6C5,Nursery,52,0.643,0.378,0.265,AM,
6C5_20191024,20191024,6C5,Nursery,53,0.566,0.293,0.273,AM,
6C5_20191024,20191024,6C5,Nursery,54,0.685,0.419,0.266,AM,
6C5_20191024,20191024,6C5,Nursery,55,0.349,0.244,0.105,AM,
7_20191021,20191021,7,Nursery,1,0.611,0.485,0.126,AM,
7_20191021,20191021,7,Nursery,2,0.743,0.355,0.388,AM,
7_20191021,20191021,7,Nursery,3,0.599,0.537,0.062,AM,
7_20191021,20191021,7,Nursery,4,0.654,0.547,0.107,AM,
7_20191021,20191021,7,Nursery,5,0.698,0.457,0.241,AM,
7_20191021,20191021,7,Nursery,6,0.523,0.397,0.126,AM,
7_20191021,20191021,7,Nursery,7,0.619,0.597,0.022,AM,
7_20191021,20191021,7,Nursery,8,0.609,0.248,0.361,AM,
7_20191021,20191021,7,Nursery,9,0.679,0.316,0.363,AM,
7_20191021,20191021,7,Nursery,10,0.705,0.529,0.176,AM,
7_20191021,20191021,7,Nursery,11,0.627,0.47,0.157,AM,
7_20191021,20191021,7,Nursery,12,0.652,0.373,0.279,AM,
7_20191021,20191021,7,Nursery,13,0.695,0.367,0.328,AM,
7_20191021,20191021,7,Nursery,14,0.526,0.26,0.266,AM,
7_20191021,20191021,7,Nursery,15,0.645,0.379,0.266,AM,
7_20191021,20191021,7,Nursery,16,0.639,0.555,0.084,AM,
7_20191021,20191021,7,Nursery,17,0.536,0.505,0.031,AM,
7_20191021,20191021,7,Nursery,18,0.514,0.464,0.05,AM,
7_20191021,20191021,7,Nursery,19,0.668,0.382,0.286,AM,
7_20191021,20191021,7,Nursery,20,0.421,0.313,0.108,AM,
7_20191021,20191021,7,Nursery,21,0.609,0.334,0.275,AM,
7_20191021,20191021,7,Nursery,22,0.587,0.415,0.172,AM,
7_20191021,20191021,7,Nursery,23,0.581,0.397,0.184,AM,
7_20191021,20191021,7,Nursery,24,0.637,0.278,0.359,AM,
7_20191021,20191021,7,Nursery,25,0.607,0.486,0.121,AM,
7_20191021,20191021,7,Nursery,26,0.554,0.443,0.111,AM,
7_20191021,20191021,7,Nursery,27,0.608,0.256,0.352,AM,
7_20191021,20191021,7,Nursery,28,0.675,0.508,0.167,AM,
7_20191021,20191021,7,Nursery,29,0.604,0.425,0.179,AM,
7_20191021,20191021,7,Nursery,30,0.331,0.316,0.015,AM,
7_20191021,20191021,7,Nursery,31,0.452,0.322,0.13,AM,
7_20191021,20191021,7,Nursery,32,0.635,0.566,0.069,AM,
7_20191021,20191021,7,Nursery,33,0.595,0.301,0.294,AM,
7_20191021,20191021,7,Nursery,34,0.798,0.353,0.445,AM,
7_20191021,20191021,7,Nursery,35,0.488,0.437,0.051,AM,
7_20191021,20191021,7,Nursery,36,0.568,0.367,0.201,AM,
7_20191021,20191021,7,Nursery,37,0.663,0.49,0.173,AM,
7_20191021,20191021,7,Nursery,38,0.451,0.393,0.058,AM,
7_20191021,20191021,7,Nursery,39,0.735,0.316,0.419,AM,
7_20191021,20191021,7,Nursery,40,0.597,0.461,0.136,AM,
7_20191021,20191021,7,Nursery,41,0.625,0.456,0.169,AM,
7_20191021,20191021,7,Nursery,42,0.641,0.43,0.211,AM,
7_20191021,20191021,7,Nursery,43,0.653,0.393,0.26,AM,
7_20191021,20191021,7,Nursery,44,0.576,0.564,0.012,AM,
7_20191021,20191021,7,Nursery,45,0.622,0.426,0.196,AM,
7_20191021,20191021,7,Nursery,46,0.518,0.226,0.292,AM,
7_20191021,20191021,7,Nursery,47,0.572,0.365,0.207,AM,
7_20191021,20191021,7,Nursery,48,0.58,0.415,0.165,AM,
