Date,Photo_ID,Sample_ID,Origin,Replicate,Total_number,Tech,Note
20191026,7_1,Apul7,Nursery,1,62,SG,
20191026,7_2,Apul7,Nursery,2,56,SG,
20191026,7_3,Apul7,Nursery,3,41,SG,
20191026,7_4,Apul7,Nursery,4,45,SG,
20191026,7C1_1,Apul7C1,Nursery,1,323,SG,
20191026,8_1,Apul8,Nursery,1,187,SG,
20191026,8_2,Apul8,Nursery,2,164,SG,
20191026,8_3,Apul8,Nursery,3,216,SG,
20191026,8_4,Apul8,Nursery,4,183,SG,
20191026,8_5,Apul8,Nursery,5,217,SG,
20191026,8_6,Apul8,Nursery,6,65,SG,
20191026,8_7,Apul8,Nursery,7,132,SG,
20191026,12C1_1,Apul12C1,Nursery,1,290,SG,
20191026,12C1_2,Apul12C1,Nursery,2,230,SG,
20191026,12C1_3,Apul12C1,Nursery,3,211,SG,
20191026,12C1_4,Apul12C1,Nursery,4,89,SG,
20191026,12C1_5,Apul12C1,Nursery,5,303,SG,
20191026,14C5,Apul14_C5_1026,Nursery,0,26,SG,
20191026,14C5_1,Apul14_C5_1026,Nursery,1,288,SG,
20191026,14C5_2,Apul14_C5_1026,Nursery,2,329,SG,
20191026,14C5_3,Apul14_C5_1026,Nursery,3,377,SG,
20191026,14C5_4,Apul14_C5_1026,Nursery,4,244,SG,
20191026,image0022,Apul14_C5_1026,Nursery,5,74,SG,
20191026,15C2_1,Apul15C2,Nursery,1,160,SG,
20191026,15C2_2,Apul15C2,Nursery,2,123,SG,
20191026,15C2_3,Apul15C2,Nursery,3,184,SG,
20191026,15C2_4,Apul15C2,Nursery,4,80,SG,
20191026,15C2_5,Apul15C2,Nursery,5,98,SG,
20191026,15C2_6,Apul15C2,Nursery,6,62,SG,
20191026,Wild_B_1,Aplu6_wild,Wild,1,141,SG,
20191026,Wild_B_2,Aplu6_wild,Wild,2,84,SG,"could not see every egg, the lighting was too bright"
20191026,Wild_B_3,Aplu6_wild,Wild,3,180,SG,
20191026,Wild_B_4,Aplu6_wild,Wild,4,95,SG,
20191026,Wild_B_5,Aplu6_wild,Wild,5,77,SG,
20191026,Wild_6_6,Aplu6_wild,Wild,6,27,SG,
20191026,Wild_6_7,Aplu6_wild,Wild,7,53,SG,
20191026,Wild_6_8,Aplu6_wild,Wild,8,35,SG,
20191026,Wild_6_9,Aplu6_wild,Wild,9,36,SG,
20191026,Wild_6_10,Aplu6_wild,Wild,10,19,SG,
