Photo_ID,Date,Sample_ID,Origin,Egg_number,Diameter1_long_cm,Diameter2_short_cm,Diam_long_mm,Diam_short_mm,Tech,Note
Apul_75_20201007,20201007,Apul_75,Mahana,1,0.065,0.037,0.65,0.37,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,2,0.064,0.055,0.64,0.55,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,3,0.057,0.051,0.57,0.51,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,4,0.064,0.055,0.64,0.55,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,5,0.05,0.045,0.5,0.45,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,6,0.061,0.046,0.61,0.46,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,7,0.058,0.043,0.58,0.43,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,8,0.06,0.045,0.6,0.45,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,9,0.053,0.038,0.53,0.38,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,10,0.055,0.034,0.55,0.34,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,11,0.063,0.048,0.63,0.48,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,12,0.054,0.039,0.54,0.39,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,13,0.055,0.041,0.55,0.41,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,14,0.046,0.045,0.46,0.45,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,15,0.069,0.046,0.69,0.46,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,16,0.068,0.039,0.68,0.39,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,17,0.048,0.047,0.48,0.47,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,18,0.06,0.054,0.6,0.54,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,19,0.069,0.047,0.69,0.47,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,20,0.059,0.04,0.59,0.4,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,21,0.06,0.044,0.6,0.44,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,22,0.063,0.052,0.63,0.52,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,23,0.074,0.048,0.74,0.48,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,24,0.063,0.04,0.63,0.4,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,25,0.074,0.036,0.74,0.36,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,26,0.066,0.048,0.66,0.48,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,27,0.067,0.044,0.67,0.44,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,28,0.068,0.038,0.68,0.38,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,29,0.064,0.056,0.64,0.56,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,30,0.071,0.043,0.71,0.43,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,31,0.063,0.051,0.63,0.51,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,32,0.055,0.044,0.55,0.44,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,33,0.06,0.046,0.6,0.46,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,34,0.058,0.045,0.58,0.45,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,35,0.061,0.04,0.61,0.4,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,36,0.064,0.046,0.64,0.46,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,37,0.062,0.058,0.62,0.58,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,38,0.47,0.046,4.7,0.46,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,39,0.054,0.034,0.54,0.34,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,40,0.6,0.039,6,0.39,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,41,0.5,0.048,5,0.48,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,42,0.058,0.053,0.58,0.53,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,43,0.057,0.033,0.57,0.33,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,44,0.061,0.057,0.61,0.57,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,45,0.052,0.036,0.52,0.36,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,46,0.064,0.054,0.64,0.54,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,47,0.065,0.034,0.65,0.34,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,48,0.056,0.5,0.56,5,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,49,0.6,0.044,6,0.44,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,50,0.065,0.043,0.65,0.43,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,51,0.064,0.036,0.64,0.36,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,52,0.061,0.039,0.61,0.39,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,53,0.075,0.047,0.75,0.47,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,54,0.055,0.041,0.55,0.41,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,55,0.056,0.046,0.56,0.46,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,56,0.058,0.041,0.58,0.41,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,57,0.061,0.037,0.61,0.37,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,58,0.077,0.034,0.77,0.34,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,59,0.062,0.049,0.62,0.49,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,60,0.065,0.037,0.65,0.37,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,61,0.06,0.049,0.6,0.49,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,62,0.054,0.048,0.54,0.48,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,63,0.066,0.033,0.66,0.33,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,64,0.052,0.05,0.52,0.5,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,65,0.056,0.039,0.56,0.39,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,66,0.051,0.042,0.51,0.42,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,67,0.054,0.049,0.54,0.49,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,68,0.058,0.044,0.58,0.44,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,69,0.063,0.051,0.63,0.51,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,70,0.071,0.052,0.71,0.52,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,71,0.059,0.04,0.59,0.4,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,72,0.065,0.05,0.65,0.5,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,73,0.061,0.039,0.61,0.39,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,74,0.056,0.043,0.56,0.43,DC,
Apul_75_20201007,20201007,Apul_75,Mahana,75,0.062,0.054,0.62,0.54,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,1,0.068,0.036,0.68,0.36,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,2,0.067,0.043,0.67,0.43,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,3,0.056,0.04,0.56,0.4,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,4,0.055,0.041,0.55,0.41,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,5,0.057,0.051,0.57,0.51,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,6,0.048,0.031,0.48,0.31,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,7,0.061,0.037,0.61,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,8,0.06,0.05,0.6,0.5,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,9,0.054,0.039,0.54,0.39,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,10,0.057,0.048,0.57,0.48,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,11,0.05,0.031,0.5,0.31,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,12,0.054,0.028,0.54,0.28,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,13,0.064,0.041,0.64,0.41,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,14,0.062,0.037,0.62,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,15,0.059,0.041,0.59,0.41,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,16,0.05,0.043,0.5,0.43,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,17,0.058,0.048,0.58,0.48,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,18,0.051,0.036,0.51,0.36,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,19,0.064,0.049,0.64,0.49,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,20,0.06,0.042,0.6,0.42,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,21,0.058,0.038,0.58,0.38,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,22,0.054,0.039,0.54,0.39,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,23,0.054,0.04,0.54,0.4,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,24,0.052,0.037,0.52,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,25,0.055,0.057,0.55,0.57,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,26,0.5,0.042,5,0.42,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,27,0.066,0.039,0.66,0.39,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,28,0.054,0.037,0.54,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,29,0.054,0.033,0.54,0.33,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,30,0.065,0.039,0.65,0.39,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,31,0.065,0.038,0.65,0.38,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,32,0.052,0.039,0.52,0.39,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,33,0.065,0.046,0.65,0.46,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,34,0.048,0.041,0.48,0.41,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,35,0.059,0.037,0.59,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,36,0.061,0.037,0.61,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,37,0.06,0.044,0.6,0.44,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,38,0.053,0.053,0.53,0.53,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,39,0.046,0.043,0.46,0.43,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,40,0.058,0.039,0.58,0.39,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,41,0.063,0.037,0.63,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,42,0.06,0.035,0.6,0.35,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,43,0.059,0.046,0.59,0.46,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,44,0.066,0.037,0.66,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,45,0.046,0.037,0.46,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,46,0.054,0.037,0.54,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,47,0.047,0.038,0.47,0.38,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,48,0.051,0.05,0.51,0.5,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,49,0.057,0.038,0.57,0.38,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,50,0.053,0.057,0.53,0.57,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,51,0.06,0.035,0.6,0.35,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,52,0.058,0.037,0.58,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,53,0.045,0.045,0.45,0.45,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,54,0.056,0.037,0.56,0.37,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,55,0.057,0.041,0.57,0.41,DC,
Apul_76_20201009,20201009,Apul_76,Mahana,56,0.052,0.033,0.52,0.33,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,1,0.062,0.053,0.62,0.53,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,2,0.054,0.047,0.54,0.47,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,3,0.051,0.042,0.51,0.42,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,4,0.063,0.051,0.63,0.51,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,5,0.067,0.044,0.67,0.44,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,6,0.063,0.056,0.63,0.56,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,7,0.06,0.057,0.6,0.57,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,8,0.058,0.052,0.58,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,9,0.067,0.049,0.67,0.49,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,10,0.061,0.037,0.61,0.37,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,11,0.058,0.041,0.58,0.41,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,12,0.057,0.045,0.57,0.45,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,13,0.065,0.045,0.65,0.45,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,14,0.066,0.045,0.66,0.45,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,15,0.06,0.049,0.6,0.49,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,16,0.057,0.042,0.57,0.42,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,17,0.059,0.041,0.59,0.41,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,18,0.07,0.051,0.7,0.51,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,19,0.063,0.041,0.63,0.41,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,20,0.056,0.056,0.56,0.56,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,21,0.061,0.052,0.61,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,22,0.062,0.046,0.62,0.46,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,23,0.048,0.052,0.48,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,24,0.064,0.054,0.64,0.54,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,25,0.062,0.064,0.62,0.64,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,26,0.066,0.046,0.66,0.46,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,27,0.07,0.03,0.7,0.3,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,28,0.061,0.054,0.61,0.54,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,29,0.056,0.055,0.56,0.55,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,30,0.07,0.054,0.7,0.54,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,31,0.057,0.053,0.57,0.53,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,32,0.074,0.042,0.74,0.42,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,33,0.049,0.05,0.49,0.5,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,34,0.056,0.049,0.56,0.49,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,35,0.068,0.046,0.68,0.46,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,36,0.062,0.037,0.62,0.37,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,37,0.072,0.051,0.72,0.51,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,38,0.056,0.048,0.56,0.48,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,39,0.064,0.031,0.64,0.31,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,40,0.062,0.059,0.62,0.59,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,41,0.064,0.051,0.64,0.51,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,42,0.059,0.05,0.59,0.5,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,43,0.069,0.052,0.69,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,44,0.067,0.052,0.67,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,45,0.062,0.052,0.62,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,46,0.07,0.058,0.7,0.58,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,47,0.065,0.049,0.65,0.49,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,48,0.062,0.053,0.62,0.53,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,49,0.055,0.054,0.55,0.54,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,50,0.067,0.047,0.67,0.47,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,51,0.051,0.049,0.51,0.49,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,52,0.058,0.052,0.58,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,53,0.062,0.054,0.62,0.54,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,54,0.058,0.034,0.58,0.34,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,55,0.062,0.058,0.62,0.58,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,56,0.066,0.056,0.66,0.56,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,57,0.068,0.054,0.68,0.54,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,58,0.062,0.037,0.62,0.37,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,59,0.053,0.033,0.53,0.33,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,60,0.069,0.035,0.69,0.35,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,61,0.065,0.045,0.65,0.45,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,62,0.057,0.059,0.57,0.59,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,63,0.067,0.049,0.67,0.49,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,64,0.074,0.053,0.74,0.53,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,65,0.061,0.036,0.61,0.36,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,66,0.07,0.043,0.7,0.43,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,67,0.063,0.062,0.63,0.62,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,68,0.064,0.045,0.64,0.45,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,69,0.061,0.043,0.61,0.43,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,70,0.051,0.045,0.51,0.45,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,71,0.066,0.052,0.66,0.52,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,72,0.052,0.063,0.52,0.63,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,73,0.058,0.063,0.58,0.63,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,74,0.058,0.056,0.58,0.56,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,75,0.052,0.058,0.52,0.58,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,76,0.067,0.044,0.67,0.44,DC,
Apul_77_20201007,20201007,Apul_77,Mahana,77,0.067,0.051,0.67,0.51,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,1,0.069,0.047,0.69,0.47,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,2,0.056,0.05,0.56,0.5,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,3,0.067,0.045,0.67,0.45,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,4,0.056,0.055,0.56,0.55,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,5,0.067,0.037,0.67,0.37,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,6,0.053,0.046,0.53,0.46,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,7,0.077,0.044,0.77,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,8,0.066,0.04,0.66,0.4,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,9,0.052,0.044,0.52,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,10,0.056,0.054,0.56,0.54,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,11,0.062,0.052,0.62,0.52,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,12,0.052,0.045,0.52,0.45,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,13,0.073,0.062,0.73,0.62,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,14,0.058,0.039,0.58,0.39,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,15,0.053,0.056,0.53,0.56,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,16,0.072,0.051,0.72,0.51,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,17,0.068,0.042,0.68,0.42,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,18,0.07,0.039,0.7,0.39,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,19,0.072,0.049,0.72,0.49,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,20,0.085,0.044,0.85,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,21,0.059,0.037,0.59,0.37,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,22,0.062,0.051,0.62,0.51,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,23,0.057,0.045,0.57,0.45,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,24,0.085,0.066,0.85,0.66,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,25,0.069,0.057,0.69,0.57,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,26,0.071,0.054,0.71,0.54,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,27,0.058,0.043,0.58,0.43,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,28,0.062,0.051,0.62,0.51,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,29,0.055,0.05,0.55,0.5,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,30,0.062,0.048,0.62,0.48,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,31,0.067,0.056,0.67,0.56,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,32,0.057,0.056,0.57,0.56,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,33,0.05,0.05,0.5,0.5,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,34,0.067,0.047,0.67,0.47,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,35,0.073,0.054,0.73,0.54,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,36,0.059,0.047,0.59,0.47,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,37,0.072,0.042,0.72,0.42,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,38,0.062,0.056,0.62,0.56,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,39,0.061,0.047,0.61,0.47,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,40,0.069,0.042,0.69,0.42,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,41,0.058,0.044,0.58,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,42,0.054,0.044,0.54,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,43,0.058,0.044,0.58,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,44,0.062,0.042,0.62,0.42,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,45,0.054,0.045,0.54,0.45,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,46,0.075,0.048,0.75,0.48,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,47,0.073,0.063,0.73,0.63,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,48,0.055,0.044,0.55,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,49,0.052,0.047,0.52,0.47,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,50,0.061,0.045,0.61,0.45,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,51,0.052,0.042,0.52,0.42,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,52,0.064,0.048,0.64,0.48,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,53,0.067,0.043,0.67,0.43,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,54,0.054,0.049,0.54,0.49,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,55,0.078,0.068,0.78,0.68,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,56,0.051,0.045,0.51,0.45,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,57,0.063,0.048,0.63,0.48,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,58,0.065,0.044,0.65,0.44,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,59,0.066,0.051,0.66,0.51,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,60,0.073,0.046,0.73,0.46,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,61,0.068,0.058,0.68,0.58,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,62,0.061,0.048,0.61,0.48,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,63,0.064,0.055,0.64,0.55,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,64,0.069,0.049,0.69,0.49,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,65,0.073,0.039,0.73,0.39,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,66,0.074,0.059,0.74,0.59,DC,
Apul_80_20201007,20201007,Apul_80,Mahana,67,0.059,0.042,0.59,0.42,DC,
Apul_87_20201007,20201007,Apul_87,Mahana,1,0.053,0.051,0.53,0.51,DC,
Apul_87_20201007,20201007,Apul_87,Mahana,2,0.066,0.053,0.66,0.53,DC,
Apul_87_20201007,20201007,Apul_87,Mahana,3,0.061,0.05,0.61,0.5,DC,
Apul_87_20201007,20201007,Apul_87,Mahana,4,0.06,0.06,0.6,0.6,DC,
