spawn.date,sample_id,species,origin,treatment,weight1.g,weight2.g
20201011,Apul-185,A.pulchra,Manava,Outplant,8.881,9.5129
20201012,Acy-3-3.1,A.cyatherea,Nursery,Nursery,3.9856,4.8734
20201011,Apul-201,A.pulchra,Mahana,Wild,3.2674,3.5688
20201012,Acy-3-4.1,A.cyatherea,Nursery,Nursery,3.9901,4.5158
20201011,Acy-7-3.1,A.cyatherea,Nursery,Nursery,3.0906,3.606
20201011,Apul-9,A.pulchra,Nursery,Nursery,3.6788,4.1
20201011,Acy-7-2.6,A.cyatherea,Nursery,Nursery,5.0617,6.0086
20201014,Acy-17,A.cyatherea,Linareva,Wild,11.02,12.4264
20201013,Acy-8-3.5,A.cyatherea,Nursery,Nursery,7.5023,8.3945
20201012,Acy-20-C5,A.cyatherea,Nursery,Nursery,8.5394,9.4767
20201014,Acy-14,A.cyatherea,Linareva,Wild,10.6081,11.7815
20201012,Acy-8-2.1,A.cyatherea,Nursery,Nursery,7.9505,9.3734
20201012,Acy-9-3.4,A.cyatherea,Nursery,Nursery,8.2341,9.0768
20201011,Apul-14-4.2,A.pulchra,Nursery,Nursery,13.927,14.88
20201013,Apul-1,A.pulchra,Nursery,Nursery,4.673,5.2104
20201009,Apul-241,A.pulchra,Mahana,Outplant,1.856,2.1732
20201013,Apul-14-4.2,A.pulchra,Nursery,Nursery,13.7615,14.7797
20201009,Apul-234,A.pulchra,Mahana,Outplant,4.7765,5.4148
20201013,Apul-206,A.pulchra,Mahana,Wild,3.8283,4.3315
20201009,Apul-204,A.pulchra,Mahana,Wild,4.1808,4.7367
20201007,Acy-23,A.cyatherea,Sofitel,Wild,3.4335,4.3295
20201007,Acy-31,A.cyatherea,Sofitel,Wild,6.766,7.7828
20201007,Apul-241,A.pulchra,Mahana,Outplant,1.8589,2.13
20201007,Acy-30,A.cyatherea,Sofitel,Wild,6.8567,8.1703
20201007,Apul-203,A.pulchra,Mahana,Wild,2.945,3.3611
20201010,Apul-87,A.pulchra,Mahana,Wild,2.5528,2.7476
20201011,Acy-3-4.1,A.cyatherea,Nursery,Nursery,3.99,4.6631
20201007,Acy-29,A.cyatherea,Sofitel,Wild,9.2026,10.196
20201007,Apul-202,A.pulchra,Mahana,Wild,5.5141,6.2094
20201011,Apul-72,A.pulchra,Linareva,Wild,4.5462,4.8932
20201007,Apul-201,A.pulchra,Mahana,Wild,12.7324,13.7241
20201010,Acy-7-3.1,A.cyatherea,Nursery,Nursery,1.486,1.6788
20201011,Acy-9-3.4,A.cyatherea,Nursery,Nursery,4.5318,5.3514
20201007,Acy-25,A.cyatherea,Sofitel,Wild,4.7451,5.678
20201007,Apul-75,A.pulchra,Mahana,Wild,2.4251,2.7369
20201010,Apul-208,A.pulchra,Mahana,Wild,3.5432,4.3748
20201010,Apul-173,A.pulchra,Mahana,Outplant,4.656,5.1467
20201010,Apul-66,A.pulchra,Linareva,Wild,2.4749,2.9138
20201007,Apul-87,A.pulchra,Mahana,Wild,2.2137,2.65
20201007,Apul-80,A.pulchra,Mahana,Wild,2.7106,3.0743
20201007,Acy-26,A.cyatherea,Sofitel,Wild,4.1278,4.8375
20201010,Apul-178,A.pulchra,Mahana,Outplant,5.7,6.2086
20201007,Acy-28,A.cyatherea,Sofitel,Wild,3.374,3.7592
20201007,Acy-27,A.cyatherea,Sofitel,Wild,5.123,5.8598
20201011,Apul-4,A.pulchra,Nursery,Wild,3.7877,4.1855
20201011,Apul-71,A.pulchra,Linareva,Wild,3.2617,3.7442
20201010,Apul-234,A.pulchra,Mahana,Outplant,8.074,8.9844
20201009,Apul-66,A.pulchra,Linareva,Wild,1.5153,1.8253
20201009,Apul-76,A.pulchra,Mahana,Wild,0.9841,1.3063
20201010,Acy-7-2.6,A.cyatherea,Nursery,Nursery,3.8694,4.4765
20201009,Apul-73,A.pulchra,Linareva,Wild,5.0114,5.4237
