sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Documents\URI\Lab-Notebook\Apul_Spawning_Nurs.vs.Wild\RAnalysis\Data\Oct_2020\Wild_vs_Nurs\Larval Resp\27C\SDR 641_Apul_Nursery_10182020.csv
File creation time:	10/18/2020 4:38:01 PM
SDR name:	SDR-641
Serial number	SEBX0007000641
MUX channel	ON - 01

PARAMETERS
Sig LED current	045
Ref LED current	095
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	31.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/18/2020	4:37:56 PM	132475486763106816	0:00:00	46.72	47.86	47.03	48.22	47.79	47.76	46.64	47.81	47.38	48.02	47.31	47.83	46.69	47.22	47.78	47.69	47.41	47.22	46.66	47.79	47.78	47.84	46.97	47.62	60555	62868	59592	63509	62916	53218	68301	63471	58732	66267	65853	55512	70966	69440	67668	56554	64415	63932	57299	64093	62863	63428	55273	57132	0.1107	0.0913	0.1053	0.0854	0.0924	0.0929	0.1121	0.0921	0.0993	0.0886	0.1005	0.0918	0.1113	0.1021	0.0926	0.0941	0.0988	0.1021	0.1118	0.0924	0.0926	0.0916	0.1064	0.0953
10/18/2020	4:38:11 PM	132475486913115181	0:00:15	46.72	47.89	47.04	48.22	47.81	47.80	46.64	47.81	47.39	48.04	47.33	47.86	46.72	47.24	47.80	47.70	47.43	47.23	46.69	47.80	47.80	47.85	47.00	47.64	60535	62951	59538	63597	62777	53210	68349	63456	58604	66378	65913	55499	70937	69493	67810	56642	64479	63991	57156	64073	62845	63529	55265	57042	0.1107	0.0908	0.1052	0.0854	0.0921	0.0923	0.1121	0.0921	0.0992	0.0883	0.1002	0.0913	0.1107	0.1017	0.0923	0.0939	0.0985	0.1019	0.1113	0.0923	0.0923	0.0914	0.1058	0.0949
10/18/2020	4:38:26 PM	132475487063125871	0:00:30	46.73	47.90	47.06	48.25	47.82	47.82	46.65	47.82	47.39	48.05	47.33	47.85	46.71	47.24	47.80	47.72	47.44	47.23	46.68	47.80	47.80	47.86	46.99	47.65	60572	63037	59518	63557	62868	53253	68159	63462	58757	66375	65893	55549	70919	69649	67913	56679	64451	64027	57172	64030	62757	63690	55235	57003	0.1106	0.0906	0.1048	0.0849	0.0919	0.0919	0.1120	0.0919	0.0992	0.0881	0.1002	0.0914	0.1109	0.1017	0.0923	0.0936	0.0983	0.1019	0.1114	0.0923	0.0923	0.0913	0.1060	0.0948
10/18/2020	4:38:41 PM	132475487213123534	0:00:45	46.73	47.90	47.06	48.27	47.83	47.82	46.65	47.83	47.41	48.05	47.33	47.85	46.71	47.24	47.81	47.73	47.44	47.23	46.69	47.81	47.81	47.87	47.00	47.66	60578	63102	59629	63529	62956	53324	68380	63514	58735	66152	65916	55615	70817	69615	67863	56544	64406	64002	57090	64032	62872	63490	55263	57105	0.1106	0.0906	0.1048	0.0845	0.0918	0.0919	0.1120	0.0918	0.0988	0.0881	0.1002	0.0914	0.1109	0.1017	0.0921	0.0934	0.0983	0.1019	0.1113	0.0921	0.0921	0.0911	0.1058	0.0946
10/18/2020	4:38:56 PM	132475487363132100	0:01:00	46.72	47.92	47.07	48.28	47.83	47.84	46.65	47.85	47.43	48.06	47.34	47.85	46.71	47.25	47.81	47.72	47.43	47.23	46.69	47.80	47.81	47.89	47.02	47.67	60569	63094	59575	63631	63041	53271	68298	63429	58687	66251	65899	55549	70867	69624	67825	56696	64575	64052	57173	63999	62830	63541	55284	57149	0.1107	0.0903	0.1046	0.0844	0.0918	0.0916	0.1120	0.0914	0.0985	0.0880	0.1000	0.0914	0.1109	0.1015	0.0921	0.0936	0.0985	0.1019	0.1113	0.0923	0.0921	0.0908	0.1055	0.0944
10/18/2020	4:39:11 PM	132475487513140970	0:01:15	46.72	47.92	47.07	48.28	47.83	47.83	46.65	47.86	47.44	48.06	47.35	47.86	46.70	47.24	47.82	47.73	47.44	47.23	46.69	47.82	47.81	47.90	47.03	47.67	60555	63086	59620	63424	63007	53257	68270	63475	58687	66319	65958	55567	70918	69469	67824	56580	64474	64004	57178	64081	62735	63523	55294	57132	0.1107	0.0903	0.1046	0.0844	0.0918	0.0918	0.1120	0.0913	0.0983	0.0880	0.0998	0.0913	0.1111	0.1017	0.0919	0.0934	0.0983	0.1019	0.1113	0.0919	0.0921	0.0906	0.1053	0.0944
10/18/2020	4:39:26 PM	132475487663141268	0:01:30	46.71	47.92	47.06	48.30	47.82	47.82	46.63	47.85	47.44	48.07	47.36	47.86	46.71	47.24	47.83	47.76	47.44	47.24	46.69	47.83	47.82	47.92	47.02	47.68	60549	63012	59589	63492	62999	53157	68241	63498	58642	66348	65998	55556	70973	69439	67830	56630	64543	63960	57233	64196	62854	63424	55194	57237	0.1109	0.0903	0.1048	0.0841	0.0919	0.0919	0.1123	0.0914	0.0983	0.0878	0.0997	0.0913	0.1109	0.1017	0.0918	0.0929	0.0983	0.1017	0.1113	0.0918	0.0919	0.0903	0.1055	0.0943
10/18/2020	4:39:41 PM	132475487813151430	0:01:45	46.73	47.95	47.08	48.32	47.84	47.84	46.64	47.87	47.46	48.08	47.37	47.88	46.72	47.26	47.85	47.77	47.44	47.24	46.69	47.85	47.82	47.93	47.04	47.69	60578	63135	59686	63441	63059	53308	68335	63458	58582	66405	65981	55519	71022	69631	67821	56619	64491	64053	57081	64094	62785	63681	55384	56999	0.1106	0.0898	0.1045	0.0837	0.0916	0.0916	0.1121	0.0911	0.0980	0.0876	0.0995	0.0909	0.1107	0.1014	0.0914	0.0928	0.0983	0.1017	0.1113	0.0914	0.0919	0.0901	0.1052	0.0941
10/18/2020	4:39:56 PM	132475487963153893	0:02:00	46.71	47.95	47.08	48.32	47.85	47.83	46.65	47.87	47.44	48.09	47.36	47.86	46.71	47.26	47.86	47.77	47.43	47.24	46.68	47.84	47.81	47.94	47.03	47.67	60578	63078	59598	63418	63135	53279	68369	63575	58727	66440	66083	55575	70919	69693	67932	56666	64437	64023	57207	64049	62773	63611	55338	56913	0.1109	0.0898	0.1045	0.0837	0.0914	0.0918	0.1120	0.0911	0.0983	0.0875	0.0997	0.0913	0.1109	0.1014	0.0913	0.0928	0.0985	0.1017	0.1114	0.0916	0.0921	0.0899	0.1053	0.0944
10/18/2020	4:40:11 PM	132475488113168182	0:02:15	46.71	47.96	47.07	48.33	47.85	47.83	46.64	47.89	47.45	48.11	47.38	47.88	46.71	47.28	47.88	47.79	47.44	47.23	46.68	47.87	47.82	47.95	47.04	47.69	60575	63107	59790	63367	63136	53265	68301	63535	58599	66313	66081	55564	70919	69700	67973	56571	64381	64013	57304	64319	62774	63670	55251	57146	0.1109	0.0896	0.1046	0.0836	0.0914	0.0918	0.1121	0.0908	0.0981	0.0872	0.0993	0.0909	0.1109	0.1010	0.0909	0.0924	0.0983	0.1019	0.1114	0.0911	0.0919	0.0898	0.1052	0.0941
