sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Documents\URI\Lab-Notebook\Apul_Spawning_Nurs.vs.Wild\RAnalysis\Data\Oct_2020\Wild_vs_Nurs\SDR 710_Acya_20201007.csv
File creation time:	10/13/2020 12:25:23 PM
SDR name:	SDR-710
Serial number	SEBX0007000710
MUX channel	ON - 02

PARAMETERS
Sig LED current	040
Ref LED current	075
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	27.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/13/2020	12:25:17 PM	132471015175260975	0:00:00	47.28	47.80	48.18	47.92	48.20	48.72	47.28	48.19	48.10	48.59	48.06	48.07	47.16	48.57	47.67	47.89	47.78	48.09	47.13	47.93	47.94	48.01	48.03	47.74	51323	55681	51625	53624	48820	45287	55996	57445	48905	49677	46662	48165	61762	59385	48928	54854	49097	41463	56243	55687	55033	49169	44376	46248	0.1601	0.1468	0.1372	0.1437	0.1367	0.1240	0.1601	0.1370	0.1392	0.1271	0.1402	0.1400	0.1633	0.1276	0.1501	0.1445	0.1473	0.1395	0.1641	0.1435	0.1432	0.1415	0.1410	0.1483
10/13/2020	12:25:32 PM	132471015325266977	0:00:15	47.28	47.80	48.20	47.93	48.22	48.73	47.29	48.18	48.10	48.61	48.07	48.05	47.15	48.60	47.68	47.90	47.77	48.10	47.13	47.93	47.96	48.01	48.05	47.75	51280	55675	51450	53609	48893	45344	56079	57550	48919	49663	46671	48210	61674	59430	48931	54746	48902	41500	56404	55668	55131	49302	44520	46243	0.1601	0.1468	0.1367	0.1435	0.1362	0.1237	0.1599	0.1372	0.1392	0.1267	0.1400	0.1405	0.1635	0.1269	0.1498	0.1442	0.1475	0.1392	0.1641	0.1435	0.1427	0.1415	0.1405	0.1480
10/13/2020	12:25:47 PM	132471015475274434	0:00:30	47.28	47.81	48.20	47.95	48.23	48.74	47.28	48.18	48.10	48.64	48.10	48.04	47.16	48.60	47.68	47.89	47.79	48.10	47.14	47.94	48.00	48.03	48.07	47.77	51280	55615	51475	53578	48860	45273	55966	57584	48874	49799	46699	48051	61689	59447	48908	54778	48906	41380	57927	55874	55210	49246	44493	46166	0.1601	0.1465	0.1367	0.1430	0.1360	0.1235	0.1601	0.1372	0.1392	0.1259	0.1392	0.1407	0.1633	0.1269	0.1498	0.1445	0.1470	0.1392	0.1638	0.1432	0.1417	0.1410	0.1400	0.1475
10/13/2020	12:26:02 PM	132471015625265235	0:00:45	47.28	47.81	48.22	47.95	48.22	48.76	47.28	48.18	48.11	48.63	48.10	48.03	47.16	48.63	47.70	47.93	47.81	48.13	47.15	47.96	48.03	48.06	48.11	47.79	51286	55632	51387	53533	48933	45160	56054	57521	48837	49731	46762	48091	61639	59423	48940	54659	48807	41418	56407	55681	55170	49200	44570	46222	0.1601	0.1465	0.1362	0.1430	0.1362	0.1230	0.1601	0.1372	0.1390	0.1262	0.1392	0.1410	0.1633	0.1262	0.1493	0.1435	0.1465	0.1385	0.1635	0.1427	0.1410	0.1402	0.1390	0.1470
10/13/2020	12:26:17 PM	132471015775284164	0:01:00	47.28	47.81	48.23	47.97	48.23	48.78	47.27	48.18	48.12	48.65	48.11	48.02	47.16	48.65	47.69	47.93	47.82	48.13	47.14	47.95	48.03	48.07	48.14	47.78	51289	55729	51365	53646	48893	45345	56051	57473	48902	49751	46767	48076	61763	59541	49088	54799	48894	41436	56361	55669	55230	49247	44555	46295	0.1601	0.1465	0.1360	0.1425	0.1360	0.1225	0.1604	0.1372	0.1387	0.1257	0.1390	0.1412	0.1633	0.1257	0.1496	0.1435	0.1463	0.1385	0.1638	0.1430	0.1410	0.1400	0.1382	0.1473
10/13/2020	12:26:32 PM	132471015925301826	0:01:15	47.28	47.82	48.24	47.96	48.25	48.78	47.28	48.19	48.14	48.67	48.14	48.02	47.17	48.67	47.70	47.94	47.84	48.17	47.15	47.98	48.04	48.08	48.17	47.80	51280	55695	51458	53666	48959	45246	56048	57496	48973	49757	46824	48091	61678	59591	48960	54811	49100	41516	56365	55686	55190	49314	44563	46342	0.1601	0.1463	0.1357	0.1427	0.1355	0.1225	0.1601	0.1370	0.1382	0.1252	0.1382	0.1412	0.1630	0.1252	0.1493	0.1432	0.1458	0.1375	0.1635	0.1422	0.1407	0.1397	0.1375	0.1468
10/13/2020	12:26:47 PM	132471016075366090	0:01:30	47.29	47.83	48.26	47.98	48.26	48.80	47.28	48.18	48.16	48.68	48.15	48.02	47.17	48.70	47.70	47.94	47.82	48.16	47.14	47.96	48.02	48.08	48.16	47.79	51269	55703	51544	53762	48973	45326	56002	57601	48985	49729	46818	48079	61774	59507	49136	54775	48974	41507	56439	55682	55209	49413	44621	46295	0.1599	0.1460	0.1352	0.1422	0.1352	0.1221	0.1601	0.1372	0.1377	0.1250	0.1380	0.1412	0.1630	0.1245	0.1493	0.1432	0.1463	0.1377	0.1638	0.1427	0.1412	0.1397	0.1377	0.1470
10/13/2020	12:27:02 PM	132471016225367072	0:01:45	47.29	47.85	48.28	48.01	48.28	48.85	47.30	48.19	48.19	48.71	48.16	48.06	47.17	48.72	47.73	47.98	47.86	48.18	47.17	48.01	48.06	48.13	48.24	47.82	51274	55768	51399	53813	49081	45309	56025	57510	48979	49893	46787	48278	61818	59488	49114	54738	49104	41540	56303	55778	53506	49388	44576	46298	0.1599	0.1455	0.1348	0.1415	0.1348	0.1209	0.1596	0.1370	0.1370	0.1242	0.1377	0.1402	0.1630	0.1240	0.1486	0.1422	0.1453	0.1372	0.1630	0.1415	0.1402	0.1385	0.1357	0.1463
10/13/2020	12:27:17 PM	132471016375365793	0:02:00	47.29	47.85	48.29	48.02	48.29	48.86	47.30	48.20	48.20	48.73	48.17	48.05	47.19	48.73	47.72	47.97	47.85	48.20	47.16	48.03	48.06	48.15	48.21	47.82	51331	55633	51329	53640	48840	45262	56092	57542	48960	49877	46796	48102	61975	59638	48966	54825	48962	41631	56441	55854	53548	49430	44652	46237	0.1599	0.1455	0.1345	0.1412	0.1345	0.1206	0.1596	0.1367	0.1367	0.1237	0.1375	0.1405	0.1625	0.1237	0.1488	0.1425	0.1455	0.1367	0.1633	0.1410	0.1402	0.1380	0.1365	0.1463
10/13/2020	12:27:32 PM	132471016525457969	0:02:15	47.29	47.85	48.29	48.01	48.30	48.88	47.29	48.19	48.20	48.72	48.16	48.06	47.17	48.74	47.72	47.96	47.84	48.19	47.15	48.03	48.03	48.15	48.23	47.81	51342	55791	51374	53649	48940	45427	56118	57476	48912	49630	46703	48063	62004	59664	48980	54765	49100	41464	56622	55916	53430	49224	44534	46241	0.1599	0.1455	0.1345	0.1415	0.1343	0.1201	0.1599	0.1370	0.1367	0.1240	0.1377	0.1402	0.1630	0.1235	0.1488	0.1427	0.1458	0.1370	0.1635	0.1410	0.1410	0.1380	0.1360	0.1465
