sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Documents\URI\Lab-Notebook\Apul_Spawning_Nurs.vs.Wild\RAnalysis\Data\Oct_2020\Wild_vs_Nurs\Larval Resp\31C\SDR 641_Apul_20201013.csv
File creation time:	10/13/2020 2:49:40 PM
SDR name:	SDR-641
Serial number	SEBX0007000641
MUX channel	ON - 01

PARAMETERS
Sig LED current	045
Ref LED current	095
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	31.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/13/2020	2:49:35 PM	132471101752265559	0:00:00	45.98	46.67	46.40	46.71	46.08	46.44	45.95	46.63	46.28	46.66	46.89	46.38	45.91	46.53	46.50	46.99	46.59	46.25	45.92	46.25	46.49	46.98	46.40	46.44	44442	50078	49875	55606	57454	51875	51610	49108	48465	58703	64983	54202	54225	56539	57072	53441	65837	66772	44375	52167	55718	60994	55107	58428	0.1240	0.1116	0.1164	0.1109	0.1222	0.1157	0.1246	0.1123	0.1186	0.1118	0.1078	0.1168	0.1253	0.1141	0.1146	0.1060	0.1130	0.1191	0.1251	0.1191	0.1148	0.1062	0.1164	0.1157
10/13/2020	2:49:50 PM	132471101902306333	0:00:15	45.97	46.65	46.40	46.73	46.08	46.45	45.94	46.62	46.27	46.66	46.88	46.39	45.91	46.52	46.50	46.99	46.60	46.27	45.92	46.25	46.51	46.98	46.41	46.43	44442	50040	49832	56719	57553	51917	51743	49088	48385	58573	65124	54216	54369	56515	57086	53586	65928	66639	44400	52018	55553	60779	54988	58382	0.1242	0.1120	0.1164	0.1106	0.1222	0.1155	0.1247	0.1125	0.1187	0.1118	0.1079	0.1166	0.1253	0.1143	0.1146	0.1060	0.1129	0.1187	0.1251	0.1191	0.1145	0.1062	0.1162	0.1159
10/13/2020	2:50:05 PM	132471102052440807	0:00:30	45.97	46.64	46.40	46.71	46.06	46.43	45.92	46.63	46.27	46.66	46.87	46.39	45.91	46.51	46.50	46.98	46.59	46.25	45.90	46.25	46.50	46.97	46.41	46.42	44422	50060	49946	55354	57488	51945	51590	49332	48456	58621	64949	54247	54199	56327	56839	53374	65760	66544	44308	52002	55536	60925	55000	58430	0.1242	0.1121	0.1164	0.1109	0.1226	0.1159	0.1251	0.1123	0.1187	0.1118	0.1081	0.1166	0.1253	0.1145	0.1146	0.1062	0.1130	0.1191	0.1255	0.1191	0.1146	0.1064	0.1162	0.1161
10/13/2020	2:50:20 PM	132471102202519017	0:00:45	45.94	46.63	46.40	46.69	46.06	46.43	45.91	46.62	46.25	46.66	46.87	46.39	45.90	46.51	46.48	46.98	46.58	46.25	45.88	46.23	46.50	46.95	46.41	46.42	44428	50083	49900	55538	57519	51917	51709	49150	48451	58536	65042	54244	54226	56395	57048	53585	65882	66539	44299	52069	55752	59168	55166	58553	0.1247	0.1123	0.1164	0.1113	0.1226	0.1159	0.1253	0.1125	0.1191	0.1118	0.1081	0.1166	0.1255	0.1145	0.1150	0.1062	0.1132	0.1191	0.1258	0.1195	0.1146	0.1067	0.1162	0.1161
10/13/2020	2:50:35 PM	132471102352536639	0:01:00	45.96	46.62	46.39	46.70	46.07	46.44	45.92	46.66	46.27	46.67	46.88	46.37	45.89	46.51	46.48	46.98	46.58	46.25	45.89	46.23	46.49	46.95	46.41	46.42	44422	49980	49937	55496	57621	51866	51721	49182	48516	58615	64957	54162	54196	56345	56839	53473	65855	66626	44361	52096	55743	60895	55039	58522	0.1244	0.1125	0.1166	0.1111	0.1224	0.1157	0.1251	0.1118	0.1187	0.1116	0.1079	0.1170	0.1257	0.1145	0.1150	0.1062	0.1132	0.1191	0.1257	0.1195	0.1148	0.1067	0.1162	0.1161
10/13/2020	2:50:50 PM	132471102502612419	0:01:15	45.93	46.61	46.38	46.68	46.04	46.41	45.89	46.64	46.25	46.68	46.87	46.37	45.88	46.49	46.48	46.97	46.59	46.23	45.86	46.22	46.50	46.95	46.39	46.39	44411	50023	49739	55490	57633	51886	51647	49120	48518	58710	64966	54131	54238	56316	56957	53481	65743	66582	44210	52032	55751	58989	54901	58507	0.1249	0.1127	0.1168	0.1114	0.1229	0.1162	0.1257	0.1121	0.1191	0.1114	0.1081	0.1170	0.1258	0.1148	0.1150	0.1064	0.1130	0.1195	0.1262	0.1196	0.1146	0.1067	0.1166	0.1166
10/13/2020	2:51:05 PM	132471102652619928	0:01:30	45.93	46.62	46.37	46.68	46.05	46.41	45.89	46.65	46.25	46.69	46.86	46.38	45.88	46.49	46.48	46.98	46.61	46.24	45.86	46.20	46.49	46.93	46.40	46.39	44405	49992	49829	55504	57485	51937	51681	49244	48555	58778	65176	54066	54281	56359	56965	53556	65932	66808	44199	51956	55781	58992	54897	58378	0.1249	0.1125	0.1170	0.1114	0.1227	0.1162	0.1257	0.1120	0.1191	0.1113	0.1083	0.1168	0.1258	0.1148	0.1150	0.1062	0.1127	0.1193	0.1262	0.1200	0.1148	0.1071	0.1164	0.1166
10/13/2020	2:51:20 PM	132471102802737858	0:01:45	45.91	46.60	46.37	46.69	46.04	46.40	45.88	46.64	46.24	46.68	46.86	46.38	45.88	46.49	46.47	46.97	46.61	46.23	45.85	46.20	46.48	46.93	46.40	46.39	44428	50012	49835	56700	57477	51838	51604	49074	48493	58534	64892	54117	54266	56298	56895	53612	65673	66590	44258	52164	55659	60775	55122	58431	0.1253	0.1129	0.1170	0.1113	0.1229	0.1164	0.1258	0.1121	0.1193	0.1114	0.1083	0.1168	0.1258	0.1148	0.1152	0.1064	0.1127	0.1195	0.1264	0.1200	0.1150	0.1071	0.1164	0.1166
10/13/2020	2:51:35 PM	132471102952837039	0:02:00	45.91	46.59	46.39	46.68	46.03	46.40	45.88	46.64	46.25	46.69	46.84	46.36	45.86	46.46	46.47	46.97	46.60	46.23	45.82	46.18	46.47	46.91	46.40	46.37	44425	50014	49951	55209	57522	51860	51590	49202	48473	58690	64881	54032	54145	56281	56958	53638	65738	66721	44332	52014	55662	60733	54893	58432	0.1253	0.1130	0.1166	0.1114	0.1231	0.1164	0.1258	0.1121	0.1191	0.1113	0.1086	0.1171	0.1262	0.1153	0.1152	0.1064	0.1129	0.1195	0.1270	0.1204	0.1152	0.1074	0.1164	0.1170
10/13/2020	2:51:50 PM	132471103102865794	0:02:15	45.91	46.59	46.39	46.67	46.02	46.41	45.87	46.64	46.23	46.71	46.83	46.37	45.85	46.45	46.47	46.97	46.61	46.22	45.82	46.18	46.47	46.89	46.42	46.37	44416	49986	49917	55223	57471	51798	51505	49069	48530	58693	65062	54142	54211	56241	57214	53633	65868	66622	44256	52092	55760	59205	55097	58350	0.1253	0.1130	0.1166	0.1116	0.1233	0.1162	0.1260	0.1121	0.1195	0.1109	0.1088	0.1170	0.1264	0.1155	0.1152	0.1064	0.1127	0.1196	0.1270	0.1204	0.1152	0.1078	0.1161	0.1170
