Date.Crossed,Tube.Number,Vial Line,Male.Colony,Female.Colony,Temp.Treatment,Total.Eggs,Fert.Eggs,Notes
20201007,A1,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A2,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A3,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A4,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A5,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A6,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A7,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A8,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A9,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A10,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A11,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A12,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A13,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A14,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A15,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A16,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A17,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A18,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A19,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A20,,Mahana Wild Pooled,Mahana Wild Pooled,27,,,
20201007,A21,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A22,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A23,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A24,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A25,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A26,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A27,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A28,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A29,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A30,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A31,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A32,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A33,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A34,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A35,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A36,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A37,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A38,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A39,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A40,,Mahana Wild Pooled,Mahana Wild Pooled,31,,,
20201007,A41,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A42,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A43,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A44,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A45,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A46,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A47,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A48,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A49,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A50,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A51,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A52,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A53,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A54,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A55,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A56,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A57,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A58,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A59,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A60,,Sofitel Wild Pooled,Sofitel Wild Pooled,27,,,
20201007,A61,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A62,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A63,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A64,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A65,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A66,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A67,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A68,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A69,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A70,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A71,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A72,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A73,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A74,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A75,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A76,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A77,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A78,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A79,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201007,A80,,Sofitel Wild Pooled,Sofitel Wild Pooled,31,,,
20201009,B1,1,Linareva_71/72,Linareva_71/73,31,,,
20201009,B2,1,Linareva_71/72,Linareva_71/73,31,,,
20201009,B3,1,Linareva_71/72,Linareva_71/73,31,,,
20201009,B4,1,Linareva_71/72,Linareva_71/73,31,,,
20201009,B5,1,Linareva_71/72,Linareva_71/73,31,,,
20201009,B6,2,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B7,2,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B8,2,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B9,2,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B10,2,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B11,3,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B12,3,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B13,3,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B14,3,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B15,3,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,31,,,
20201009,B16,4,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B17,4,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B18,4,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B19,4,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B20,4,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B21,5,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B22,5,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B23,5,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B24,5,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B25,5,Acy_Nurs_9,Acy_Nurs_3 Pooled,31,,,
20201009,B26,6,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B27,6,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B28,6,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B29,6,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
