Date_Spawned,Photo_ID,Sample_ID,Species,Origin,Site,Replicate,Total_number,Tech,Date Counted,Note
20201010,Acy_7_2.6_20201010,Acy_7_2.6,A. cyatherea,Nursery,Pepinere,1,142,DC,20210125,
20201011,Acy_3_4.1_20201011,Acy_3_4.1,A. cyatherea,Nursery,Pepinere,1,232,DC,20210125,
20201011,Acy_7_2.6_20201011,Acy_7_2.6,A. cyatherea,Nursery,Pepinere,1,331,DC,20210125,
20201010,Acy_7_3.1_20201010,Acy_7_3.1,A. cyatherea,Nursery,Pepinere,1,394,DC,20210125,
20201011,Acy_7_3.1_20201011_1,Acy_7_3.1,A. cyatherea,Nursery,Pepinere,1,603,DC,20210125,
20201011,Acy_7_3.1_20201011_2,Acy_7_3.1,A. cyatherea,Nursery,Pepinere,2,46,DC,20210125,
20201013,Acy_8_3.5_20201013_1,Acy_8_3.5,A. cyatherea,Nursery,Pepinere,1,690,DC,20210125,
20201013,Acy_8_3.5_20201013_2,Acy_8_3.5,A. cyatherea,Nursery,Pepinere,2,203,DC,20210125,
20201012,Acy_8_20201012,Acy_8,A. cyatherea,Nursery,Pepinere,1,1,DC,20210125,
20201011,Acy_9_3.4_20201011,Acy_9_3.4,A. cyatherea,Nursery,Pepinere,1,NA,DC,20210125,Not preserved and all the eggs disintegrated and cannot count the remaining
20201012,Acy_9_3.4_20201012_1,Acy_9_3.4,A. cyatherea,Nursery,Pepinere,1,592,DC,20210125,
20201012,Acy_9_3.4_20201012_2,Acy_9_3.4,A. cyatherea,Nursery,Pepinere,2,437,DC,20210126,
20201014,Acy_14_20201014,Acy_14,A. cyatherea,Wild,Linareva,1,574,DC,20210126,
20201014,Acy_17_20201014,Acy_17,A. cyatherea,Wild,Linareva,1,631,DC,20210126,
20201014,Acy_17_20201014,Acy_17,A. cyatherea,Wild,Linareva,2,960,DC,20210126,
20201012,Acy_20_C5_20201012,Acy_20_C5,A. cyatherea,Nursery,Pepinere,1,NA,DC,20210126,Not preserved and all the eggs disintegrated so cannot count
20201007,Acy_23_20201007,Acy_23,A. cyatherea,Wild,Sofitel,1,362,DC,20210126,
20201007,Acy_23_20201007,Acy_23,A. cyatherea,Wild,Sofitel,2,267,DC,20210126,
20201007,Acy_25_20201007,Acy_25,A. cyatherea,Wild,Sofitel,1,102,DC,20210126,
20201007,Acy_26_20201007,Acy_26,A. cyatherea,Wild,Sofitel,1,283,DC,20210126,
20201007,Acy_27_20201007,Acy_27,A. cyatherea,Wild,Sofitel,1,607,DC,20210126,
20201007,Acy_27_20201007,Acy_27,A. cyatherea,Wild,Sofitel,2,567,DC,20210126,
20201007,Acy_28_20201007,Acy_28,A. cyatherea,Wild,Sofitel,1,160,DC,20210126,
20201007,Acy_29_20201007,Acy_29,A. cyatherea,Wild,Sofitel,1,910,DC,20210126,
20201007,Acy_29_20201007,Acy_29,A. cyatherea,Wild,Sofitel,2,1082,DC,20210127,
20201007,Acy_30_20201007,Acy_30,A. cyatherea,Wild,Sofitel,1,486,DC,20210127,
20201007,Acy_31_20201007_1,Acy_31,A. cyatherea,Wild,Sofitel,1,498,DC,20210127,
20201007,Acy_31_20201007_2,Acy_31,A. cyatherea,Wild,Sofitel,2,59,DC,20210127,
20201014,Apul_1_20201014,Apul_1,A. pulchra,Nursery,Pepinere,1,665,DC,20210127,
20201011,Apul_4_20201011,Apul_4,A. pulchra,Nursery,Pepinere,1,171,DC,20210127,
20201011,Apul_9_20201011,Apul_9,A. pulchra,Nursery,Pepinere,1,166,DC,20210127,
20201011,Apul_14_4.2_20201011,Apul_14_4.2,A. pulchra,Nursery,Pepinere,1,831,DC,20210128,
20201013,Apul_14_4.2_20201013_1,Apul_14_4.2,A. pulchra,Nursery,Pepinere,1,688,DC,20210128,
