Date.Crossed,Tube.Number,Species,Origin,Male.Colony,Female.Colony,Temp.Treatment,Photo_ID,Total.Eggs,Fert.Eggs,Date_Counted,Counter,Notes
20201007,A1,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A1.1,135,106,20210209,DC,
20201007,A1,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A1.2,81,65,20210209,DC,
20201007,A1,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A1.3,72,63,20210209,DC,
20201007,A1,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A1.4,69,57,20210209,DC,
20201007,A1,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A1.5,113,97,20210209,DC,
20201007,A2,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A2.1,78,62,20210210,DC,
20201007,A2,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A2.2,80,60,20210210,DC,
20201007,A2,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A2.3,81,62,20210210,DC,
20201007,A3,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A3.001,73,53,20210210,DC,
20201007,A3,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A3.002,99,78,20210210,DC,
20201007,A4,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A4.001,39,34,20210210,DC,
20201007,A4,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A4.002,100,87,20210210,DC,
20201007,A4,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A4.003,48,36,20210210,DC,
20201007,A4,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A4.004,76,69,20210210,DC,
20201007,A4,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A4.005,103,88,20210210,DC,
20201007,A4,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A4.006,72,64,20210210,DC,
20201007,A5,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A5.001,42,31,20210210,DC,
20201007,A5,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A5.002,50,41,20210210,DC,
20201007,A5,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A5.003,40,34,20210210,DC,
20201007,A5,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A5.004,67,53,20210210,DC,
20201007,A5,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A5.005,25,21,20210210,DC,
20201007,A6,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A6.001,137,118,20210210,DC,
20201007,A6,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A6.002,176,150,20210210,DC,
20201007,A6,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A6.003,120,105,20210210,DC,
20201007,A6,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A6.004,58,50,20210210,DC,
20201007,A7,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A7.01,112,91,20210210,DC,
20201007,A7,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A7.02,88,74,20210210,DC,
20201007,A7,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A7.03,108,92,20210210,DC,
20201007,A7,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A7.04,48,40,20210210,DC,
20201007,A8,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A8.01,83,68,20210210,DC,
20201007,A8,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A8.02,67,54,20210210,DC,
20201007,A8,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A8.03,47,43,20210210,DC,
20201007,A9,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A9.01,58,53,20210210,DC,
20201007,A9,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A9.02,92,80,20210210,DC,
20201007,A9,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A9.03,31,27,20210210,DC,
20201007,A10,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A10.01,83,47,20210209,DC,
20201007,A10,A. pulchra,Mahana,Wild Pooled,Wild Pooled,27,A10.02,86,66,20210209,DC,
