sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Desktop\SDR 641_Apul_20201007.csv
File creation time:	10/13/2020 12:25:53 PM
SDR name:	SDR-641
Serial number	SEBX0007000641
MUX channel	ON - 01

PARAMETERS
Sig LED current	045
Ref LED current	095
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	27.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/13/2020	12:25:47 PM	132471015475274434	0:00:00	46.13	46.91	46.83	46.64	46.44	46.57	46.17	46.59	46.40	46.52	46.65	46.44	46.12	46.38	46.89	46.60	46.58	46.72	46.18	46.48	46.42	46.47	46.98	46.58	22219	29221	35504	40936	51994	43419	29929	31895	39645	49001	58151	50368	32125	39194	46524	42975	55101	61793	31187	37561	44484	58681	51504	56939	0.1910	0.1699	0.1720	0.1771	0.1825	0.1790	0.1899	0.1784	0.1836	0.1803	0.1768	0.1825	0.1913	0.1841	0.1704	0.1782	0.1787	0.1749	0.1896	0.1814	0.1831	0.1817	0.1680	0.1787
10/13/2020	12:26:02 PM	132471015625265235	0:00:14	46.13	46.92	46.84	46.64	46.43	46.58	46.16	46.60	46.41	46.51	46.66	46.45	46.14	46.39	46.91	46.63	46.58	46.73	46.18	46.51	46.43	46.47	47.00	46.61	22197	29312	35567	41064	52051	43632	30037	32026	39849	49063	58247	50509	32152	39329	46572	43164	55360	61935	31145	37728	44631	58759	51527	56926	0.1910	0.1696	0.1717	0.1771	0.1828	0.1787	0.1902	0.1782	0.1833	0.1806	0.1766	0.1822	0.1907	0.1839	0.1699	0.1774	0.1787	0.1747	0.1896	0.1806	0.1828	0.1817	0.1675	0.1779
10/13/2020	12:26:17 PM	132471015775284164	0:00:30	46.15	46.90	46.86	46.66	46.43	46.58	46.17	46.58	46.42	46.52	46.65	46.45	46.13	46.38	46.90	46.63	46.59	46.75	46.19	46.49	46.42	46.47	47.00	46.60	22216	29213	35555	40939	51969	43450	29966	31983	39772	49063	58160	50342	32128	39181	46586	43024	55136	61917	31126	37571	44505	58684	51410	56662	0.1905	0.1701	0.1712	0.1766	0.1828	0.1787	0.1899	0.1787	0.1831	0.1803	0.1768	0.1822	0.1910	0.1841	0.1701	0.1774	0.1784	0.1741	0.1894	0.1812	0.1831	0.1817	0.1675	0.1782
10/13/2020	12:26:32 PM	132471015925301826	0:00:45	46.14	46.91	46.87	46.66	46.43	46.58	46.17	46.60	46.41	46.53	46.67	46.46	46.15	46.41	46.91	46.63	46.60	46.75	46.20	46.51	46.44	46.48	47.02	46.61	22199	29233	35445	40936	52003	43422	29994	31958	39727	48944	58004	50495	32141	39328	46478	43030	55240	61998	31092	37578	44498	58644	51436	56707	0.1907	0.1699	0.1709	0.1766	0.1828	0.1787	0.1899	0.1782	0.1833	0.1801	0.1763	0.1820	0.1905	0.1833	0.1699	0.1774	0.1782	0.1741	0.1891	0.1806	0.1825	0.1814	0.1670	0.1779
10/13/2020	12:26:47 PM	132471016075366090	0:01:00	46.15	46.93	46.90	46.65	46.43	46.60	46.18	46.60	46.41	46.53	46.66	46.46	46.13	46.40	46.90	46.64	46.59	46.76	46.17	46.50	46.43	46.47	47.03	46.60	22219	29236	35513	40882	51943	43414	30014	31941	39732	49018	58128	50439	32062	39187	46405	43129	55133	61957	31104	37634	44546	58627	51537	56702	0.1905	0.1693	0.1701	0.1768	0.1828	0.1782	0.1896	0.1782	0.1833	0.1801	0.1766	0.1820	0.1910	0.1836	0.1701	0.1771	0.1784	0.1739	0.1899	0.1809	0.1828	0.1817	0.1667	0.1782
10/13/2020	12:27:02 PM	132471016225367072	0:01:15	46.16	46.98	46.89	46.67	46.43	46.62	46.17	46.61	46.42	46.53	46.70	46.46	46.17	46.43	46.91	46.66	46.60	46.77	46.21	46.54	46.45	46.49	47.06	46.61	22219	29361	35536	40984	52037	43519	30037	32054	39899	49108	58270	50589	32157	39244	46613	43178	55314	62109	31216	37746	44589	58797	51656	56953	0.1902	0.1680	0.1704	0.1763	0.1828	0.1776	0.1899	0.1779	0.1831	0.1801	0.1755	0.1820	0.1899	0.1828	0.1699	0.1766	0.1782	0.1736	0.1888	0.1798	0.1822	0.1812	0.1659	0.1779
10/13/2020	12:27:17 PM	132471016375365793	0:01:30	46.17	46.95	46.90	46.66	46.46	46.63	46.20	46.62	46.42	46.55	46.73	46.48	46.17	46.43	46.93	46.66	46.63	46.80	46.22	46.56	46.45	46.51	47.09	46.63	22234	29273	35496	40890	52031	43499	29980	31981	39749	48984	58154	50524	32178	39229	46446	41812	55288	61834	31198	37633	44640	58689	51562	56825	0.1899	0.1688	0.1701	0.1766	0.1820	0.1774	0.1891	0.1776	0.1831	0.1795	0.1747	0.1814	0.1899	0.1828	0.1693	0.1766	0.1774	0.1728	0.1885	0.1793	0.1822	0.1806	0.1651	0.1774
10/13/2020	12:27:32 PM	132471016525457969	0:01:45	46.15	46.96	46.88	46.65	46.44	46.63	46.19	46.62	46.42	46.52	46.69	46.46	46.14	46.41	46.91	46.64	46.58	46.77	46.18	46.54	46.44	46.47	47.06	46.59	22228	29242	35624	40862	51943	43734	30014	32006	39792	48930	58132	50555	32170	39304	46552	42999	55255	61872	31118	37650	44509	58663	51646	57010	0.1905	0.1685	0.1707	0.1768	0.1825	0.1774	0.1894	0.1776	0.1831	0.1803	0.1757	0.1820	0.1907	0.1833	0.1699	0.1771	0.1787	0.1736	0.1896	0.1798	0.1825	0.1817	0.1659	0.1784
10/13/2020	12:27:47 PM	132471016675551213	0:02:00	46.16	46.98	46.89	46.68	46.46	46.66	46.19	46.65	46.43	46.54	46.72	46.47	46.15	46.43	46.91	46.67	46.61	46.80	46.21	46.57	46.45	46.48	47.10	46.61	22200	29270	35666	40870	52056	43777	30009	31978	39738	49004	58100	50391	32161	39209	46473	43062	55161	62007	31155	37665	44525	58764	51536	56750	0.1902	0.1680	0.1704	0.1760	0.1820	0.1766	0.1894	0.1768	0.1828	0.1798	0.1749	0.1817	0.1905	0.1828	0.1699	0.1763	0.1779	0.1728	0.1888	0.1790	0.1822	0.1814	0.1648	0.1779
10/13/2020	12:28:02 PM	132471016825616864	0:02:15	46.16	46.97	46.90	46.66	46.45	46.66	46.19	46.64	46.41	46.54	46.73	46.48	46.15	46.44	46.92	46.68	46.61	46.80	46.21	46.57	46.46	46.49	47.11	46.61	22234	29335	35615	40859	52088	43601	30009	31998	39712	49024	58236	50396	32087	39205	46445	43088	55269	62019	31204	37669	44555	58814	51566	56853	0.1902	0.1683	0.1701	0.1766	0.1822	0.1766	0.1894	0.1771	0.1833	0.1798	0.1747	0.1814	0.1905	0.1825	0.1696	0.1760	0.1779	0.1728	0.1888	0.1790	0.1820	0.1812	0.1646	0.1779
