sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Documents\URI\Lab-Notebook\Apul_Spawning_Nurs.vs.Wild\RAnalysis\Data\Oct_2020\Wild_vs_Nurs\Larval Resp\27C\SDR 710_Acya_Nursery_10182020.csv
File creation time:	10/18/2020 4:38:31 PM
SDR name:	SDR-710
Serial number	SEBX0007000710
MUX channel	ON - 02

PARAMETERS
Sig LED current	040
Ref LED current	075
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	31.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/18/2020	4:38:26 PM	132475487063125871	0:00:00	46.55	47.35	47.19	46.86	47.01	46.99	47.22	47.23	47.26	46.72	46.87	38.47	46.41	47.19	46.70	47.09	47.08	46.66	46.43	46.71	46.88	46.95	46.93	46.84	56238	59361	57778	58060	57330	47271	61939	62533	59426	57111	52337	464	64524	63229	55333	58090	51182	48067	62966	57844	58562	57124	48401	47514	0.1137	0.0998	0.1026	0.1083	0.1057	0.1060	0.1021	0.1019	0.1014	0.1107	0.1081		0.1162	0.1026	0.1111	0.1043	0.1045	0.1118	0.1159	0.1109	0.1079	0.1067	0.1071	0.1086
10/18/2020	4:38:41 PM	132475487213123534	0:00:14	46.53	47.34	47.19	46.86	47.00	46.96	47.22	47.22	47.27	46.71	46.85	37.20	46.42	47.19	46.71	47.09	47.09	46.64	46.41	46.72	46.89	46.94	46.93	46.87	56227	59290	57886	58006	57203	47192	62081	62416	59324	57109	52232	455	64481	63174	55178	58064	51217	47877	62951	57918	58459	56962	48527	47649	0.1141	0.1000	0.1026	0.1083	0.1058	0.1065	0.1021	0.1021	0.1012	0.1109	0.1085		0.1161	0.1026	0.1109	0.1043	0.1043	0.1121	0.1162	0.1107	0.1078	0.1069	0.1071	0.1081
10/18/2020	4:38:56 PM	132475487363132100	0:00:30	46.53	47.36	47.20	46.85	47.01	46.96	47.20	47.22	47.24	46.69	46.84	38.97	46.38	47.17	46.69	47.09	47.08	46.63	46.40	46.70	46.90	46.94	46.93	46.85	56221	59404	57900	58029	57389	47232	62005	62530	59364	57092	52289	472	64333	63247	55218	58096	51123	47871	62990	57908	58429	56982	48616	47509	0.1141	0.0997	0.1024	0.1085	0.1057	0.1065	0.1024	0.1021	0.1017	0.1113	0.1086		0.1168	0.1029	0.1113	0.1043	0.1045	0.1123	0.1164	0.1111	0.1076	0.1069	0.1071	0.1085
10/18/2020	4:39:11 PM	132475487513140970	0:00:45	46.50	47.37	47.18	46.83	47.01	46.94	47.19	47.23	47.23	46.68	46.82	38.75	46.35	47.15	46.67	47.09	47.07	46.60	46.37	46.70	46.91	46.92	46.92	46.84	56230	59568	57875	58168	57463	47277	62013	62564	59545	57163	52377	461	64469	63345	55174	58034	51317	47929	63057	57921	58457	57013	48579	47466	0.1146	0.0995	0.1027	0.1088	0.1057	0.1069	0.1026	0.1019	0.1019	0.1114	0.1090		0.1173	0.1033	0.1116	0.1043	0.1046	0.1129	0.1170	0.1111	0.1074	0.1072	0.1072	0.1086
10/18/2020	4:39:26 PM	132475487663141268	0:01:00	46.49	47.39	47.22	46.83	47.05	46.95	47.21	47.24	47.26	46.68	46.83	38.15	46.37	47.19	46.69	47.12	47.10	46.63	46.39	46.73	46.93	46.95	46.97	46.88	56179	59364	57809	58001	57247	47133	61886	62467	59370	57002	52425	465	64424	63261	55207	58047	51192	47941	63008	57952	58588	56987	48515	47592	0.1148	0.0992	0.1021	0.1088	0.1050	0.1067	0.1022	0.1017	0.1014	0.1114	0.1088		0.1170	0.1026	0.1113	0.1038	0.1041	0.1123	0.1166	0.1106	0.1071	0.1067	0.1064	0.1079
10/18/2020	4:39:41 PM	132475487813151430	0:01:15	46.46	47.38	47.20	46.80	47.04	46.93	47.19	47.23	47.23	46.65	46.81	37.73	46.33	47.16	46.66	47.10	47.09	46.60	46.35	46.72	46.92	46.93	46.94	46.85	56168	59477	57787	58098	57347	47317	61997	62564	59520	57013	52346	480	64594	63428	55127	58047	51189	47946	62974	57928	58604	56945	48481	47464	0.1153	0.0993	0.1024	0.1093	0.1052	0.1071	0.1026	0.1019	0.1019	0.1120	0.1092		0.1177	0.1031	0.1118	0.1041	0.1043	0.1129	0.1173	0.1107	0.1072	0.1071	0.1069	0.1085
10/18/2020	4:39:56 PM	132475487963153893	0:01:30	46.46	47.36	47.21	46.80	47.05	46.92	47.19	47.23	47.23	46.64	46.81	39.01	46.33	47.15	46.64	47.13	47.09	46.58	46.34	46.71	46.93	46.91	46.94	46.85	56202	59384	58053	58070	57443	47283	61979	62623	59401	57115	52360	475	64463	63298	55285	57991	51267	47894	62977	57907	58469	56995	48425	47604	0.1153	0.0997	0.1022	0.1093	0.1050	0.1072	0.1026	0.1019	0.1019	0.1121	0.1092		0.1177	0.1033	0.1121	0.1036	0.1043	0.1132	0.1175	0.1109	0.1071	0.1074	0.1069	0.1085
10/18/2020	4:40:11 PM	132475488113168182	0:01:45	46.46	47.38	47.23	46.80	47.06	46.93	47.19	47.25	47.26	46.64	46.81	37.10	46.32	47.18	46.65	47.16	47.11	46.59	46.35	46.73	46.96	46.93	46.98	46.88	56123	59571	57948	57982	57454	47269	61957	62654	59531	57062	52397	466	64429	63288	55156	58060	51293	47856	62865	58192	58490	56944	48435	47551	0.1153	0.0993	0.1019	0.1093	0.1048	0.1071	0.1026	0.1015	0.1014	0.1121	0.1092		0.1178	0.1027	0.1120	0.1031	0.1039	0.1130	0.1173	0.1106	0.1065	0.1071	0.1062	0.1079
10/18/2020	4:40:26 PM	132475488263177071	0:02:00	46.46	47.39	47.25	46.81	47.08	46.93	47.21	47.27	47.26	46.64	46.83	38.43	46.32	47.20	46.65	47.18	47.12	46.59	46.36	46.75	46.97	46.95	46.99	46.88	56157	59599	57956	57894	57499	47204	62025	62609	59520	57091	52264	462	64395	63504	55189	58069	51307	47949	62905	58028	58672	56948	48540	47490	0.1153	0.0992	0.1015	0.1092	0.1045	0.1071	0.1022	0.1012	0.1014	0.1121	0.1088		0.1178	0.1024	0.1120	0.1027	0.1038	0.1130	0.1171	0.1102	0.1064	0.1067	0.1060	0.1079
10/18/2020	4:40:41 PM	132475488413173380	0:02:15	46.45	47.38	47.25	46.81	47.09	46.93	47.22	47.28	47.28	46.65	46.82	37.31	46.32	47.22	46.65	47.18	47.14	46.59	46.36	46.76	46.99	46.95	46.99	46.89	56112	59474	58002	57945	57539	47334	62039	62869	59401	57147	52332	475	64431	63429	55298	58200	51291	47846	62879	57974	58463	57015	48421	47673	0.1155	0.0993	0.1015	0.1092	0.1043	0.1071	0.1021	0.1010	0.1010	0.1120	0.1090		0.1178	0.1021	0.1120	0.1027	0.1034	0.1130	0.1171	0.1100	0.1060	0.1067	0.1060	0.1078
