sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Documents\URI\Lab-Notebook\Apul_Spawning_Nurs.vs.Wild\RAnalysis\Data\Oct_2020\Wild_vs_Nurs\Larval Resp\31C\Acya_Nursery_10182020_31C.csv
File creation time:	10/18/2020 2:09:01 PM
SDR name:	SDR-710
Serial number	SEBX0007000710
MUX channel	ON - 02

PARAMETERS
Sig LED current	040
Ref LED current	075
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	31.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/18/2020	2:08:56 PM	132475397360162939	0:00:00	46.50	46.68	46.91	46.76	46.72	46.86	46.48	46.73	46.74	46.82	46.82	46.71	46.56	46.72	46.93	46.69	46.95	46.80	46.31	46.64	46.70	46.73	46.89	46.63	17539	23714	29683	39330	48942	49598	18150	27063	29256	41797	47839	58989	22675	28350	32293	48921	56823	56256	17537	26473	40134	48754	54623	73635	0.1146	0.1114	0.1074	0.1100	0.1107	0.1083	0.1150	0.1106	0.1104	0.1090	0.1090	0.1109	0.1136	0.1107	0.1071	0.1113	0.1067	0.1093	0.1180	0.1121	0.1111	0.1106	0.1078	0.1123
10/18/2020	2:09:11 PM	132475397510164972	0:00:15	46.49	46.64	46.88	46.70	46.68	46.84	46.42	46.69	46.69	46.78	46.76	46.68	46.54	46.66	46.88	46.66	46.91	46.76	46.27	46.60	46.67	46.70	46.88	46.60	17525	23708	29652	39291	48880	49663	18133	27092	29236	41721	47794	59185	22657	28342	32253	49135	56792	56315	17518	26466	40150	48606	54691	73625	0.1148	0.1121	0.1079	0.1111	0.1114	0.1086	0.1161	0.1113	0.1113	0.1097	0.1100	0.1114	0.1139	0.1118	0.1079	0.1118	0.1074	0.1100	0.1187	0.1129	0.1116	0.1111	0.1079	0.1129
10/18/2020	2:09:26 PM	132475397660178310	0:00:30	46.48	46.58	46.87	46.67	46.68	46.83	46.39	46.67	46.65	46.77	46.73	46.69	46.52	46.63	46.86	46.64	46.90	46.76	46.28	46.58	46.67	46.69	46.88	46.60	17522	23689	29706	39255	48835	49697	18145	27055	29256	41775	47769	59046	22682	28360	32252	48984	56869	56260	17587	26464	40175	48690	54836	73803	0.1150	0.1132	0.1081	0.1116	0.1114	0.1088	0.1166	0.1116	0.1120	0.1099	0.1106	0.1113	0.1143	0.1123	0.1083	0.1121	0.1076	0.1100	0.1186	0.1132	0.1116	0.1113	0.1079	0.1129
10/18/2020	2:09:41 PM	132475397810184237	0:00:45	46.51	46.56	46.87	46.66	46.66	46.81	46.39	46.67	46.63	46.75	46.72	46.69	46.50	46.64	46.82	46.59	46.86	46.71	46.18	46.52	46.62	46.66	46.85	46.55	17429	23677	29692	39221	48922	49669	18122	27007	29307	41735	47761	59071	22685	28345	32193	48831	56728	56165	17524	26439	40092	48634	54580	73561	0.1145	0.1136	0.1081	0.1118	0.1118	0.1092	0.1166	0.1116	0.1123	0.1102	0.1107	0.1113	0.1146	0.1121	0.1090	0.1130	0.1083	0.1109	0.1204	0.1143	0.1125	0.1118	0.1085	0.1137
10/18/2020	2:09:56 PM	132475397960189346	0:01:00	46.47	46.53	46.83	46.62	46.64	46.77	46.38	46.61	46.59	46.71	46.68	46.69	46.47	46.61	46.83	46.58	46.85	46.73	46.19	46.53	46.61	46.64	46.87	46.56	17522	23669	29655	39216	48954	49615	18111	26982	29177	41826	47764	59083	22623	28346	32191	48815	56801	56192	17499	26445	40085	48583	54513	73532	0.1152	0.1141	0.1088	0.1125	0.1121	0.1099	0.1168	0.1127	0.1130	0.1109	0.1114	0.1113	0.1152	0.1127	0.1088	0.1132	0.1085	0.1106	0.1202	0.1141	0.1127	0.1121	0.1081	0.1136
10/18/2020	2:10:11 PM	132475398110199732	0:01:15	46.49	46.50	46.84	46.62	46.65	46.78	46.38	46.62	46.57	46.70	46.64	46.70	46.49	46.60	46.77	46.54	46.83	46.70	46.16	46.47	46.61	46.62	46.84	46.54	17511	23675	29675	39249	48968	49654	18071	27027	29188	41741	47779	59116	22622	28312	32177	48873	56946	56260	17498	26455	40112	48754	54612	73634	0.1148	0.1146	0.1086	0.1125	0.1120	0.1097	0.1168	0.1125	0.1134	0.1111	0.1121	0.1111	0.1148	0.1129	0.1099	0.1139	0.1088	0.1111	0.1207	0.1152	0.1127	0.1125	0.1086	0.1139
10/18/2020	2:10:26 PM	132475398260200239	0:01:30	46.47	46.52	46.83	46.61	46.66	46.79	46.32	46.59	46.57	46.69	46.65	46.74	46.48	46.62	46.80	46.55	46.84	46.75	46.15	46.50	46.61	46.64	46.89	46.56	17485	23638	29613	39227	48968	49632	18030	26954	29186	41804	47754	59196	22617	28363	32171	48817	56816	56227	17505	26452	40089	48584	54496	73613	0.1152	0.1143	0.1088	0.1127	0.1118	0.1095	0.1178	0.1130	0.1134	0.1113	0.1120	0.1104	0.1150	0.1125	0.1093	0.1137	0.1086	0.1102	0.1209	0.1146	0.1127	0.1121	0.1078	0.1136
10/18/2020	2:10:41 PM	132475398410204273	0:01:45	46.45	46.47	46.82	46.55	46.63	46.75	46.32	46.56	46.51	46.63	46.61	46.72	46.47	46.57	46.75	46.50	46.80	46.73	46.11	46.48	46.57	46.61	46.87	46.53	17511	23658	29641	39146	48858	49507	18097	26993	29141	41663	47870	58901	22649	28404	32153	48838	56692	56218	17511	26551	40085	48610	54660	73743	0.1155	0.1152	0.1090	0.1137	0.1123	0.1102	0.1178	0.1136	0.1145	0.1123	0.1127	0.1107	0.1152	0.1134	0.1102	0.1146	0.1093	0.1106	0.1216	0.1150	0.1134	0.1127	0.1081	0.1141
10/18/2020	2:10:56 PM	132475398560205285	0:02:00	46.44	46.47	46.83	46.54	46.64	46.76	46.35	46.57	46.53	46.65	46.59	46.76	46.46	46.58	46.75	46.49	46.81	46.74	46.07	46.47	46.57	46.62	46.89	46.52	17514	23630	29697	39222	48909	49544	18077	27002	29212	41714	47780	59201	22652	28402	32206	48828	56800	56296	17478	26502	40062	48555	54650	73588	0.1157	0.1152	0.1088	0.1139	0.1121	0.1100	0.1173	0.1134	0.1141	0.1120	0.1130	0.1100	0.1153	0.1132	0.1102	0.1148	0.1092	0.1104	0.1224	0.1152	0.1134	0.1125	0.1078	0.1143
10/18/2020	2:11:11 PM	132475398710203070	0:02:15	46.47	46.47	46.86	46.55	46.63	46.75	46.32	46.58	46.52	46.65	46.58	46.78	46.45	46.61	46.76	46.49	46.81	46.78	46.09	46.47	46.55	46.61	46.91	46.53	17514	23624	29740	39220	48934	49527	18086	26985	29212	41677	47766	59229	22665	28380	32155	48791	56746	56359	17501	26513	39981	48508	54900	73579	0.1152	0.1152	0.1083	0.1137	0.1123	0.1102	0.1178	0.1132	0.1143	0.1120	0.1132	0.1097	0.1155	0.1127	0.1100	0.1148	0.1092	0.1097	0.1220	0.1152	0.1137	0.1127	0.1074	0.1141
