sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Documents\URI\Lab-Notebook\Apul_Spawning_Nurs.vs.Wild\RAnalysis\Data\Oct_2020\Wild_vs_Nurs\Larval Resp\31C\Apul_Nursery_10182020_31C.csv
File creation time:	10/18/2020 2:08:16 PM
SDR name:	SDR-641
Serial number	SEBX0007000641
MUX channel	ON - 01

PARAMETERS
Sig LED current	045
Ref LED current	095
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	31.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/18/2020	2:08:11 PM	132475396910137455	0:00:00	45.35	46.08	48.21	45.86	45.91	45.91	47.00	45.65	46.16	46.54	46.75	38.91	44.84	46.41	46.49	45.79	45.68	45.42	45.66	46.02	45.51	45.31	45.60	45.81	47339	51616	52426	53801	56721	49458	57223	51297	52537	57517	55824	316	54911	59995	59683	49556	57830	60375	51625	53245	55125	58994	50310	55961	0.1357	0.1222	0.0855	0.1262	0.1253	0.1253	0.1058	0.1301	0.1207	0.1139	0.1102		0.1456	0.1162	0.1148	0.1275	0.1296	0.1344	0.1299	0.1233	0.1327	0.1365	0.1310	0.1271
10/18/2020	2:08:26 PM	132475397060152530	0:00:15	45.34	46.08	48.22	45.87	45.91	45.90	47.01	45.66	46.17	46.54	46.78	38.11	44.83	46.43	46.50	45.81	45.68	45.43	45.67	46.03	45.50	45.32	45.61	45.83	47333	51613	52568	53733	56738	49492	57163	51326	52605	57475	55833	326	54802	59974	59630	49258	57989	60307	51623	53509	55047	58898	50416	55980	0.1359	0.1222	0.0854	0.1260	0.1253	0.1255	0.1057	0.1299	0.1206	0.1139	0.1097		0.1458	0.1159	0.1146	0.1271	0.1296	0.1342	0.1297	0.1231	0.1329	0.1363	0.1309	0.1268
10/18/2020	2:08:41 PM	132475397210144705	0:00:30	45.34	46.09	48.25	45.87	45.91	45.88	47.02	45.65	46.17	46.54	46.78	38.04	44.84	46.42	46.52	45.82	45.68	45.43	45.68	46.02	45.50	45.31	45.60	45.84	47336	51698	52731	53709	56814	49515	57535	51280	52627	57384	55748	323	55040	60194	59681	49308	57976	60393	51573	53210	55116	59000	50316	55990	0.1359	0.1220	0.0849	0.1260	0.1253	0.1258	0.1055	0.1301	0.1206	0.1139	0.1097		0.1456	0.1161	0.1143	0.1270	0.1296	0.1342	0.1296	0.1233	0.1329	0.1365	0.1310	0.1266
10/18/2020	2:08:56 PM	132475397360162939	0:00:45	45.34	46.10	48.30	45.89	45.92	45.88	47.03	45.63	46.16	46.60	46.79	39.09	44.82	46.44	46.55	45.84	45.69	45.43	45.67	46.05	45.50	45.31	45.61	45.85	47328	51590	52642	53652	56718	49467	57504	51343	52574	57476	55569	325	56505	59999	59782	49484	57927	60271	51603	53506	55270	58807	50422	55988	0.1359	0.1218	0.0841	0.1257	0.1251	0.1258	0.1053	0.1305	0.1207	0.1129	0.1095		0.1459	0.1157	0.1137	0.1266	0.1294	0.1342	0.1297	0.1227	0.1329	0.1365	0.1309	0.1264
10/18/2020	2:09:11 PM	132475397510164972	0:01:00	45.33	46.12	48.32	45.89	45.94	45.87	47.02	45.62	46.17	46.60	46.80	40.68	44.84	46.44	46.60	45.85	45.69	45.43	45.68	46.03	45.49	45.30	45.61	45.85	47316	51661	52526	53692	56769	49515	57773	51283	52534	57416	55756	330	56572	60045	59823	49442	57860	60149	51610	53199	55047	58837	50406	55903	0.1361	0.1215	0.0837	0.1257	0.1247	0.1260	0.1055	0.1307	0.1206	0.1129	0.1093		0.1456	0.1157	0.1129	0.1264	0.1294	0.1342	0.1296	0.1231	0.1331	0.1367	0.1309	0.1264
10/18/2020	2:09:26 PM	132475397660178310	0:01:15	45.32	46.12	48.34	45.90	45.93	45.86	47.04	45.61	46.20	46.61	46.82	39.80	44.83	46.47	46.63	45.86	45.70	45.45	45.70	46.05	45.50	45.31	45.61	45.86	47325	51746	52569	53694	56874	49399	57813	51357	52514	57555	55686	336	56544	60001	59881	49471	57991	60450	51606	53458	55228	59004	50323	56078	0.1363	0.1215	0.0834	0.1255	0.1249	0.1262	0.1052	0.1309	0.1200	0.1127	0.1090		0.1458	0.1152	0.1123	0.1262	0.1292	0.1339	0.1292	0.1227	0.1329	0.1365	0.1309	0.1262
10/18/2020	2:09:41 PM	132475397810184237	0:01:30	45.32	46.12	48.37	45.91	45.93	45.85	47.04	45.62	46.20	46.62	46.82	39.98	44.82	46.49	46.65	45.87	45.70	45.45	45.71	46.05	45.49	45.30	45.61	45.88	47294	51622	52664	53787	56846	49453	57802	51374	52653	57473	55731	319	56594	60128	59927	49438	58080	60376	51718	53361	55192	58843	50435	56046	0.1363	0.1215	0.0829	0.1253	0.1249	0.1264	0.1052	0.1307	0.1200	0.1125	0.1090		0.1459	0.1148	0.1120	0.1260	0.1292	0.1339	0.1290	0.1227	0.1331	0.1367	0.1309	0.1258
10/18/2020	2:09:56 PM	132475397960189346	0:01:45	45.33	46.14	48.42	45.93	45.95	45.88	47.08	45.62	46.22	46.63	46.85	39.98	44.84	46.55	46.70	45.89	45.72	45.47	45.70	46.07	45.51	45.33	45.62	45.90	47311	51673	52745	53750	56845	49441	57763	51383	52559	57459	55746	319	56598	60199	59895	49348	57876	60540	51583	53428	55071	58911	50415	55977	0.1361	0.1211	0.0821	0.1249	0.1246	0.1258	0.1045	0.1307	0.1196	0.1123	0.1085		0.1456	0.1137	0.1111	0.1257	0.1288	0.1335	0.1292	0.1224	0.1327	0.1361	0.1307	0.1255
10/18/2020	2:10:11 PM	132475398110199732	0:02:00	45.30	46.15	48.44	45.92	45.93	45.87	47.09	45.60	46.21	46.62	46.83	38.09	44.82	46.54	46.69	45.88	45.72	45.46	45.69	46.06	45.49	45.32	45.61	45.87	47311	51750	52684	53665	56792	49529	57563	51261	52593	57612	55709	326	54858	60184	59823	49335	58139	60490	51678	53313	55165	58947	50427	56090	0.1367	0.1209	0.0818	0.1251	0.1249	0.1260	0.1043	0.1310	0.1198	0.1125	0.1088		0.1459	0.1139	0.1113	0.1258	0.1288	0.1337	0.1294	0.1226	0.1331	0.1363	0.1309	0.1260
10/18/2020	2:10:26 PM	132475398260200239	0:02:15	45.30	46.14	48.45	45.91	45.93	45.87	47.10	45.60	46.20	46.64	46.84	39.01	44.84	46.56	46.71	45.89	45.73	45.47	45.70	46.08	45.48	45.32	45.61	45.89	47291	51585	52539	53764	56797	49464	57600	51264	52621	57468	55717	322	56613	60075	59816	49336	57977	60403	51625	53349	55062	58875	50311	56072	0.1367	0.1211	0.0816	0.1253	0.1249	0.1260	0.1041	0.1310	0.1200	0.1121	0.1086		0.1456	0.1136	0.1109	0.1257	0.1286	0.1335	0.1292	0.1222	0.1333	0.1363	0.1309	0.1257
