sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\Documents\URI\Lab-Notebook\Apul_Spawning_Nurs.vs.Wild\RAnalysis\Data\Oct_2020\Wild_vs_Nurs\SDR 710_Acyt_20201013.csv
File creation time:	10/13/2020 2:50:10 PM
SDR name:	SDR-710
Serial number	SEBX0007000710
MUX channel	ON - 02

PARAMETERS
Sig LED current	040
Ref LED current	075
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	31.00
Salinity [‰]:	34.00
Organisms per chamber:	4
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
0	Blank	#ff000000
4	Experimental	#ff4f81bd

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4	0	4	4	4	4	4
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
10/13/2020	2:50:05 PM	132471102052440807	0:00:00	45.71	48.18	48.14	48.73	47.40	47.04	45.64	49.00	49.03	48.04	48.00	47.62	45.57	48.69	48.66	47.21	46.84	46.93	45.51	47.12	47.27	47.30	47.63	46.68	32234	34750	35812	35872	34510	28477	36576	38951	38928	37012	36890	32523	40238	40365	35829	35344	32319	30347	41878	36818	38049	37283	31548	27989	0.1290	0.0860	0.0867	0.0772	0.0990	0.1052	0.1303	0.0729	0.0724	0.0883	0.0890	0.0953	0.1316	0.0778	0.0783	0.1022	0.1086	0.1071	0.1327	0.1038	0.1012	0.1007	0.0951	0.1114
10/13/2020	2:50:20 PM	132471102202519017	0:00:15	45.66	48.20	48.17	48.70	47.39	46.99	45.64	49.02	49.04	48.03	48.00	47.64	45.55	48.75	48.68	47.22	46.84	46.93	45.51	47.13	47.28	47.31	47.65	46.67	32419	34697	35807	35920	34484	28557	36700	38722	38945	37102	37001	32594	40380	40454	34957	35410	32326	30334	42026	36851	38203	37349	31531	28026	0.1299	0.0857	0.0862	0.0776	0.0992	0.1060	0.1303	0.0726	0.0723	0.0885	0.0890	0.0949	0.1320	0.0768	0.0780	0.1021	0.1086	0.1071	0.1327	0.1036	0.1010	0.1005	0.0948	0.1116
10/13/2020	2:50:35 PM	132471102352536639	0:00:30	45.67	48.24	48.21	48.72	47.41	46.97	45.65	49.05	49.06	48.06	48.01	47.72	45.53	48.80	48.73	47.22	46.82	46.92	45.47	47.11	47.28	47.31	47.65	46.69	32424	34706	35819	36017	34563	28443	36756	38936	38991	37094	36961	32646	40377	40477	34897	35469	32419	30383	41917	36836	38181	37321	31569	27846	0.1297	0.0850	0.0855	0.0773	0.0988	0.1064	0.1301	0.0721	0.0720	0.0880	0.0888	0.0936	0.1324	0.0761	0.0772	0.1021	0.1090	0.1072	0.1335	0.1039	0.1010	0.1005	0.0948	0.1113
10/13/2020	2:50:50 PM	132471102502612419	0:00:45	45.66	48.27	48.22	48.76	47.42	46.94	45.62	49.11	49.07	48.06	48.02	47.77	45.54	48.85	48.79	47.30	46.84	46.93	45.50	47.14	47.34	47.35	47.68	46.73	32391	34794	35875	35972	34617	28401	36729	38806	39017	37074	36973	32728	40271	40572	34858	35320	32380	30352	41893	36783	38139	37198	31613	27912	0.1299	0.0845	0.0854	0.0767	0.0986	0.1069	0.1307	0.0712	0.0718	0.0880	0.0886	0.0928	0.1322	0.0753	0.0762	0.1007	0.1086	0.1071	0.1329	0.1034	0.1000	0.0998	0.0943	0.1106
10/13/2020	2:51:05 PM	132471102652619928	0:01:00	45.64	48.31	48.21	48.77	47.44	46.91	45.60	49.12	49.07	48.07	48.04	47.77	45.51	48.86	48.79	47.32	46.81	46.94	45.49	47.13	47.34	47.34	47.71	46.75	32422	34701	36037	35963	34569	28359	36752	38974	39173	37165	36944	32620	40294	40631	34974	35296	32339	30324	41876	36832	38252	37318	31605	27863	0.1303	0.0839	0.0855	0.0765	0.0983	0.1074	0.1310	0.0710	0.0718	0.0878	0.0883	0.0928	0.1327	0.0751	0.0762	0.1003	0.1092	0.1069	0.1331	0.1036	0.1000	0.1000	0.0938	0.1102
10/13/2020	2:51:20 PM	132471102802737858	0:01:15	45.64	48.32	48.24	48.79	47.46	46.91	45.60	49.17	49.08	48.08	48.06	47.79	45.53	48.88	48.81	47.33	46.83	46.97	45.48	47.14	47.38	47.36	47.74	46.78	32399	34874	36012	35952	34561	28359	36701	38898	39131	37134	36939	32651	40251	40475	34980	35441	32357	30433	41846	36801	38221	37319	31704	27833	0.1303	0.0837	0.0850	0.0762	0.0980	0.1074	0.1310	0.0703	0.0717	0.0876	0.0880	0.0924	0.1324	0.0748	0.0759	0.1002	0.1088	0.1064	0.1333	0.1034	0.0993	0.0997	0.0933	0.1097
10/13/2020	2:51:35 PM	132471102952837039	0:01:30	45.66	48.38	48.29	48.83	47.48	46.92	45.64	49.21	49.13	48.12	48.09	47.80	45.53	48.90	48.80	47.37	46.81	46.96	45.48	47.13	47.40	47.38	47.75	46.76	32391	34908	35930	36018	34623	28296	36680	39001	38922	37242	36897	32657	40275	40538	34954	35498	32442	30479	41886	36767	38371	37355	31771	27938	0.1299	0.0828	0.0842	0.0756	0.0976	0.1072	0.1303	0.0696	0.0709	0.0870	0.0875	0.0923	0.1324	0.0745	0.0761	0.0995	0.1092	0.1065	0.1333	0.1036	0.0990	0.0993	0.0931	0.1100
10/13/2020	2:51:50 PM	132471103102865794	0:01:45	45.65	48.42	48.33	48.85	47.51	46.92	45.61	49.25	49.17	48.15	48.11	47.78	45.52	48.94	48.83	47.41	46.84	47.01	45.48	47.17	47.43	47.38	47.76	46.80	32396	34784	35908	36097	34603	28441	36678	38917	38960	37089	36982	32595	40322	40598	34991	35387	32352	30391	41883	36817	38348	37223	31915	27953	0.1301	0.0821	0.0836	0.0753	0.0971	0.1072	0.1309	0.0690	0.0703	0.0865	0.0872	0.0926	0.1325	0.0739	0.0756	0.0988	0.1086	0.1057	0.1333	0.1029	0.0985	0.0993	0.0929	0.1093
10/13/2020	2:52:05 PM	132471103252998761	0:02:00	45.62	48.45	48.32	48.84	47.49	46.91	45.57	49.25	49.15	48.13	48.10	47.80	45.49	48.94	48.84	47.42	46.79	47.00	45.47	47.16	47.45	47.35	47.76	46.79	32362	34886	36021	36080	34535	28443	36576	39104	39005	37205	37061	32654	40253	40586	35142	35412	32376	30514	42035	36913	38331	37232	31753	28000	0.1307	0.0816	0.0837	0.0754	0.0975	0.1074	0.1316	0.0690	0.0706	0.0868	0.0873	0.0923	0.1331	0.0739	0.0754	0.0986	0.1095	0.1058	0.1335	0.1031	0.0981	0.0998	0.0929	0.1095
10/13/2020	2:52:20 PM	132471103403148795	0:02:15	45.65	48.52	48.38	48.89	47.54	46.93	45.60	49.36	49.20	48.17	48.13	47.84	45.53	48.96	48.90	47.45	46.84	47.06	45.47	47.20	47.48	47.36	47.79	46.83	32379	34958	35931	36101	34549	28324	36684	39004	39094	37185	37036	32663	40229	40624	35152	35522	32446	30482	41951	36877	38279	37297	31668	27907	0.1301	0.0805	0.0828	0.0746	0.0966	0.1071	0.1310	0.0673	0.0698	0.0862	0.0868	0.0916	0.1324	0.0735	0.0745	0.0981	0.1086	0.1048	0.1335	0.1024	0.0976	0.0997	0.0924	0.1088
10/13/2020	2:52:35 PM	132471103553216888	0:02:30	45.63	48.57	48.39	48.89	47.55	46.92	45.57	49.37	49.22	48.15	48.14	47.85	45.50	48.96	48.93	47.47	46.87	47.09	45.47	47.21	47.49	47.38	47.80	46.85	32380	34927	36007	35987	34600	28333	36693	39010	39292	37114	36993	32824	40190	40619	35044	35522	32350	30437	41905	36937	38295	37340	31725	27904	0.1305	0.0797	0.0826	0.0746	0.0965	0.1072	0.1316	0.0672	0.0695	0.0865	0.0867	0.0914	0.1329	0.0735	0.0740	0.0978	0.1081	0.1043	0.1335	0.1022	0.0975	0.0993	0.0923	0.1085
